Date,Precipitation
1895-11-01,2.29
1896-11-01,3.07
1897-11-01,2.29
1898-11-01,2.26
1899-11-01,1.99
1900-11-01,2.37
1901-11-01,1.45
1902-11-01,2.99
1903-11-01,1.83
1904-11-01,1.02
1905-11-01,2.19
1906-11-01,2.49
1907-11-01,2.25
1908-11-01,1.67
1909-11-01,2.95
1910-11-01,1.76
1911-11-01,2.11
1912-11-01,1.52
1913-11-01,2.31
1914-11-01,1.51
1915-11-01,2.1
1916-11-01,1.51
1917-11-01,0.95
1918-11-01,2.32
1919-11-01,2.8
1920-11-01,2.26
1921-11-01,2.41
1922-11-01,2.08
1923-11-01,1.88
1924-11-01,1.37
1925-11-01,2.16
1926-11-01,2.87
1927-11-01,2.75
1928-11-01,2.15
1929-11-01,1.96
1930-11-01,2.28
1931-11-01,2.54
1932-11-01,2.02
1933-11-01,1.05
1934-11-01,3
1935-11-01,2.04
1936-11-01,1.14
1937-11-01,2.16
1938-11-01,2.01
1939-11-01,0.99
1940-11-01,2.91
1941-11-01,1.72
1942-11-01,2.35
1943-11-01,1.44
1944-11-01,2.68
1945-11-01,2.24
1946-11-01,3.08
1947-11-01,2.78
1948-11-01,3.39
1949-11-01,1.19
1950-11-01,2.1
1951-11-01,2.43
1952-11-01,2.15
1953-11-01,1.79
1954-11-01,1.54
1955-11-01,1.92
1956-11-01,1.36
1957-11-01,3.12
1958-11-01,2.21
1959-11-01,1.72
1960-11-01,2.05
1961-11-01,2.59
1962-11-01,2.05
1963-11-01,2.66
1964-11-01,2.38
1965-11-01,2
1966-11-01,2.01
1967-11-01,1.61
1968-11-01,2.82
1969-11-01,1.59
1970-11-01,2.2
1971-11-01,2.03
1972-11-01,3.05
1973-11-01,3.17
1974-11-01,2.18
1975-11-01,2.28
1976-11-01,1.11
1977-11-01,2.86
1978-11-01,2.6
1979-11-01,2.34
1980-11-01,1.76
1981-11-01,2.01
1982-11-01,2.99
1983-11-01,3.92
1984-11-01,2.85
1985-11-01,3.54
1986-11-01,2.94
1987-11-01,2.55
1988-11-01,3.17
1989-11-01,1.73
1990-11-01,2.09
1991-11-01,2.49
1992-11-01,3.27
1993-11-01,2.12
1994-11-01,2.9
1995-11-01,2.37
1996-11-01,3
1997-11-01,2.29
1998-11-01,2.63
1999-11-01,1.44
2000-11-01,2.73
2001-11-01,2.39
2002-11-01,1.94
2003-11-01,2.55
2004-11-01,3.18
2005-11-01,2.22
2006-11-01,2.46
2007-11-01,1.4
2008-11-01,1.95
2009-11-01,1.63
2010-11-01,2.22
2011-11-01,2.47
2012-11-01,1.32
2013-11-01,2.04
2014-11-01,2.13
2015-11-01,3.35
2016-11-01,1.75
2017-11-01,1.62
2018-11-01,2.71
2019-11-01,1.94
2020-11-01,1.94
2021-11-01,1.3
2022-11-01,2.44
