Date,GDP
1/1/47,243.2
4/1/47,246
7/1/47,249.6
10/1/47,259.7
1/1/48,265.7
4/1/48,272.6
7/1/48,279.2
10/1/48,280.4
1/1/49,275
4/1/49,271.4
7/1/49,272.9
10/1/49,270.6
1/1/50,280.8
4/1/50,290.4
7/1/50,308.2
10/1/50,319.9
1/1/51,336
4/1/51,344.1
7/1/51,351.4
10/1/51,356.2
1/1/52,359.8
4/1/52,361
7/1/52,367.7
10/1/52,380.8
1/1/53,388
4/1/53,391.7
7/1/53,391.2
10/1/53,386
1/1/54,385.3
4/1/54,386.1
7/1/54,391
10/1/54,399.7
1/1/55,413.1
4/1/55,421.5
7/1/55,430.2
10/1/55,437.1
1/1/56,439.7
4/1/56,446
7/1/56,451.2
10/1/56,460.5
1/1/57,469.8
4/1/57,472
7/1/57,479.5
10/1/57,474.9
1/1/58,467.5
4/1/58,472
7/1/58,485.8
10/1/58,499.6
1/1/59,510.3
4/1/59,522.7
7/1/59,525
10/1/59,528.6
1/1/60,542.6
4/1/60,541.1
7/1/60,545.6
10/1/60,540.2
1/1/61,545
4/1/61,555.5
7/1/61,567.7
10/1/61,580.6
1/1/62,594
4/1/62,600.4
7/1/62,609
10/1/62,612.3
1/1/63,621.7
4/1/63,629.8
7/1/63,644.4
10/1/63,653.9
1/1/64,669.8
4/1/64,678.7
7/1/64,692
10/1/64,697.3
1/1/65,717.8
4/1/65,730.2
7/1/65,749.3
10/1/65,771.9
1/1/66,795.7
4/1/66,805
7/1/66,819.6
10/1/66,833.3
1/1/67,844.2
4/1/67,849
7/1/67,865.2
10/1/67,881.4
1/1/68,909.4
4/1/68,934.3
7/1/68,950.8
10/1/68,968
1/1/69,993.3
4/1/69,1009
7/1/69,1030
10/1/69,1038.1
1/1/70,1051.2
4/1/70,1067.4
7/1/70,1086.1
10/1/70,1088.6
1/1/71,1135.2
4/1/71,1156.3
7/1/71,1177.7
10/1/71,1190.3
1/1/72,1230.6
4/1/72,1266.4
7/1/72,1290.6
10/1/72,1328.9
1/1/73,1377.5
4/1/73,1413.9
7/1/73,1433.8
10/1/73,1476.3
1/1/74,1491.2
4/1/74,1530.1
7/1/74,1560
10/1/74,1599.7
1/1/75,1616.1
4/1/75,1651.9
7/1/75,1709.8
10/1/75,1761.8
1/1/76,1820.5
4/1/76,1852.3
7/1/76,1886.6
10/1/76,1934.3
1/1/77,1988.6
4/1/77,2055.9
7/1/77,2118.5
10/1/77,2164.3
1/1/78,2202.8
4/1/78,2331.6
7/1/78,2395.1
10/1/78,2476.9
1/1/79,2526.6
4/1/79,2591.2
7/1/79,2667.6
10/1/79,2723.9
1/1/80,2789.8
4/1/80,2797.4
7/1/80,2856.5
10/1/80,2985.6
1/1/81,3124.2
4/1/81,3162.5
7/1/81,3260.6
10/1/81,3280.8
1/1/82,3274.3
4/1/82,3332
7/1/82,3366.3
10/1/82,3402.6
1/1/83,3473.4
4/1/83,3578.8
7/1/83,3689.2
10/1/83,3794.7
1/1/84,3908.1
4/1/84,4009.6
7/1/84,4084.3
10/1/84,4148.6
1/1/85,4230.2
4/1/85,4294.9
7/1/85,4386.8
10/1/85,4444.1
