California, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,1.61,-0.87
189611,4.18,1.70
189711,1.83,-0.65
189811,1.41,-1.07
189911,4.15,1.67
190011,4.82,2.34
190111,2.57,0.09
190211,3.97,1.49
190311,5.02,2.54
190411,1.28,-1.20
190511,2.17,-0.31
190611,1.83,-0.65
190711,0.38,-2.10
190811,1.69,-0.79
190911,4.22,1.74
191011,2.23,-0.25
191111,0.78,-1.70
191211,2.31,-0.17
191311,4.15,1.67
191411,0.69,-1.79
191511,1.65,-0.83
191611,1.39,-1.09
191711,1.56,-0.92
191811,2.51,0.03
191911,0.82,-1.66
192011,4.51,2.03
192111,1.45,-1.03
192211,2.68,0.20
192311,0.87,-1.61
192411,2.10,-0.38
192511,1.74,-0.74
192611,6.99,4.51
192711,3.65,1.17
192811,2.78,0.30
192911,0.00,-2.48
193011,2.01,-0.47
193111,2.68,0.20
193211,1.06,-1.42
193311,0.11,-2.37
193411,3.79,1.31
193511,1.05,-1.43
193611,0.14,-2.34
193711,4.09,1.61
193811,1.24,-1.24
193911,0.46,-2.02
194011,1.24,-1.24
194111,1.91,-0.57
194211,3.55,1.07
194311,0.96,-1.52
194411,5.09,2.61
194511,3.12,0.64
194611,4.55,2.07
194711,0.80,-1.68
194811,1.11,-1.37
194911,1.72,-0.76
195011,4.24,1.76
195111,3.37,0.89
195211,2.29,-0.19
195311,2.94,0.46
195411,2.75,0.27
195511,2.69,0.21
195611,0.11,-2.37
195711,1.73,-0.75
195811,0.96,-1.52
195911,0.14,-2.34
196011,4.52,2.04
196111,2.99,0.51
196211,1.29,-1.19
196311,4.59,2.11
196411,3.99,1.51
196511,6.17,3.69
196611,4.81,2.33
196711,2.63,0.15
196811,2.67,0.19
196911,1.34,-1.14
197011,6.56,4.08
197111,2.20,-0.28
197211,4.23,1.75
197311,6.58,4.10
197411,1.03,-1.45
197511,1.19,-1.29
197611,0.86,-1.62
197711,2.18,-0.30
197811,1.96,-0.52
197911,2.55,0.07
198011,0.63,-1.85
198111,5.99,3.51
198211,5.05,2.57
198311,6.55,4.07
198411,6.14,3.66
198511,3.84,1.36
198611,0.77,-1.71
198711,2.26,-0.22
198811,4.20,1.72
198911,1.05,-1.43
199011,0.71,-1.77
199111,1.07,-1.41
199211,0.59,-1.89
199311,1.42,-1.06
199411,3.73,1.25
199511,0.36,-2.12
199611,3.35,0.87
199711,3.95,1.47
199811,4.34,1.86
199911,2.20,-0.28
200011,0.79,-1.69
200111,4.21,1.73
200211,3.18,0.70
200311,2.35,-0.13
200411,1.68,-0.80
200511,2.26,-0.22
200611,2.08,-0.40
200711,0.82,-1.66
200811,2.41,-0.07
200911,0.99,-1.49
201011,2.60,0.12
201111,1.69,-0.79
201211,3.57,1.09
201311,0.99,-1.49
201411,1.84,-0.64
201511,1.87,-0.61
201611,2.16,-0.32
201711,2.98,0.50
201811,2.81,0.33
201911,1.61,-0.87
202011,1.19,-1.29
202111,0.95,-1.53
202211,2.02,-0.46
