Delaware, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,1.99,-1.11
189611,2.37,-0.73
189711,4.13,1.03
189811,4.59,1.49
189911,2.06,-1.04
190011,2.65,-0.45
190111,2.28,-0.82
190211,3.14,0.04
190311,1.33,-1.77
190411,2.12,-0.98
190511,1.03,-2.07
190611,1.96,-1.14
190711,6.42,3.32
190811,1.22,-1.88
190911,2.21,-0.89
191011,2.90,-0.20
191111,5.31,2.21
191211,2.54,-0.56
191311,1.48,-1.62
191411,2.12,-0.98
191511,0.98,-2.12
191611,2.29,-0.81
191711,0.49,-2.61
191811,1.28,-1.82
191911,3.45,0.35
192011,5.33,2.23
192111,4.08,0.98
192211,0.84,-2.26
192311,2.82,-0.28
192411,2.10,-1.00
192511,2.94,-0.16
192611,3.64,0.54
192711,2.77,-0.33
192811,1.71,-1.39
192911,2.51,-0.59
193011,1.89,-1.21
193111,0.93,-2.17
193211,5.04,1.94
193311,1.72,-1.38
193411,3.55,0.45
193511,4.85,1.75
193611,0.88,-2.22
193711,4.23,1.13
193811,3.26,0.16
193911,1.57,-1.53
194011,4.76,1.66
194111,1.77,-1.33
194211,2.54,-0.56
194311,2.39,-0.71
194411,5.26,2.16
194511,3.92,0.82
194611,1.83,-1.27
194711,4.99,1.89
194811,6.38,3.28
194911,2.20,-0.90
195011,3.69,0.59
195111,6.04,2.94
195211,5.43,2.33
195311,2.57,-0.53
195411,3.97,0.87
195511,2.03,-1.07
195611,4.97,1.87
195711,4.34,1.24
195811,2.76,-0.34
195911,4.86,1.76
196011,1.74,-1.36
196111,1.98,-1.12
196211,5.49,2.39
196311,6.25,3.15
196411,1.85,-1.25
196511,0.83,-2.27
196611,1.35,-1.75
196711,2.00,-1.10
196811,3.83,0.73
196911,2.25,-0.85
197011,3.63,0.53
197111,3.93,0.83
197211,6.49,3.39
197311,1.48,-1.62
197411,1.04,-2.06
197511,3.52,0.42
197611,1.00,-2.10
197711,5.41,2.31
197811,3.25,0.15
197911,4.07,0.97
198011,2.62,-0.48
198111,0.83,-2.27
198211,4.60,1.50
198311,5.18,2.08
198411,2.47,-0.63
198511,4.13,1.03
198611,4.61,1.51
198711,3.52,0.42
198811,4.94,1.84
198911,2.97,-0.13
199011,1.61,-1.49
199111,0.90,-2.20
199211,3.44,0.34
199311,3.28,0.18
199411,3.41,0.31
199511,4.27,1.17
199611,2.03,-1.07
199711,6.35,3.25
199811,1.22,-1.88
199911,2.10,-1.00
200011,2.45,-0.65
200111,0.57,-2.53
200211,5.50,2.40
200311,5.07,1.97
200411,4.58,1.48
200511,3.47,0.37
200611,5.61,2.51
200711,1.53,-1.57
200811,4.73,1.63
200911,4.55,1.45
201011,2.03,-1.07
201111,3.62,0.52
201211,0.98,-2.12
201311,2.48,-0.62
201411,3.96,0.86
201511,3.02,-0.08
201611,0.79,-2.31
201711,2.04,-1.06
201811,6.85,3.75
201911,1.38,-1.72
202011,5.84,2.74
202111,0.88,-2.22
202211,2.91,-0.19
