Florida, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,2.74,0.41
189611,3.89,1.56
189711,1.46,-0.87
189811,3.22,0.89
189911,0.80,-1.53
190011,1.58,-0.75
190111,1.04,-1.29
190211,2.81,0.48
190311,2.93,0.60
190411,2.89,0.56
190511,0.84,-1.49
190611,0.98,-1.35
190711,2.34,0.01
190811,1.71,-0.62
190911,0.81,-1.52
191011,1.70,-0.63
191111,3.95,1.62
191211,3.13,0.80
191311,1.13,-1.20
191411,2.67,0.34
191511,2.53,0.20
191611,3.26,0.93
191711,0.54,-1.79
191811,3.36,1.03
191911,3.07,0.74
192011,4.17,1.84
192111,2.57,0.24
192211,1.35,-0.98
192311,1.01,-1.32
192411,0.37,-1.96
192511,3.28,0.95
192611,3.02,0.69
192711,1.06,-1.27
192811,0.73,-1.60
192911,1.57,-0.76
193011,3.56,1.23
193111,0.32,-2.01
193211,4.28,1.95
193311,1.57,-0.76
193411,1.36,-0.97
193511,1.35,-0.98
193611,1.52,-0.81
193711,4.19,1.86
193811,1.48,-0.85
193911,1.27,-1.06
194011,1.21,-1.12
194111,3.17,0.84
194211,0.76,-1.57
194311,1.78,-0.55
194411,1.36,-0.97
194511,1.08,-1.25
194611,2.47,0.14
194711,5.72,3.39
194811,2.81,0.48
194911,1.78,-0.55
195011,0.82,-1.51
195111,4.27,1.94
195211,1.18,-1.15
195311,3.48,1.15
195411,2.45,0.12
195511,1.21,-1.12
195611,0.55,-1.78
195711,2.77,0.44
195811,2.15,-0.18
195911,2.29,-0.04
196011,1.02,-1.31
196111,1.93,-0.40
196211,3.01,0.68
196311,4.16,1.83
196411,2.08,-0.25
196511,1.61,-0.72
196611,0.98,-1.35
196711,0.94,-1.39
196811,2.84,0.51
196911,2.22,-0.11
197011,0.77,-1.56
197111,1.96,-0.37
197211,5.05,2.72
197311,1.59,-0.74
197411,1.43,-0.90
197511,1.62,-0.71
197611,3.77,1.44
197711,3.58,1.25
197811,1.70,-0.63
197911,2.74,0.41
198011,3.52,1.19
198111,2.40,0.07
198211,2.25,-0.08
198311,3.51,1.18
198411,3.03,0.70
198511,2.93,0.60
198611,3.25,0.92
198711,6.14,3.81
198811,3.55,1.22
198911,2.44,0.11
199011,1.19,-1.14
199111,1.18,-1.15
199211,4.79,2.46
199311,1.87,-0.46
199411,3.87,1.54
199511,2.62,0.29
199611,1.12,-1.21
199711,5.20,2.87
199811,3.19,0.86
199911,2.15,-0.18
200011,2.02,-0.31
200111,1.57,-0.76
200211,3.64,1.31
200311,2.45,0.12
200411,2.49,0.16
200511,2.88,0.55
200611,1.85,-0.48
200711,1.16,-1.17
200811,1.39,-0.94
200911,2.24,-0.09
201011,2.07,-0.26
201111,1.41,-0.92
201211,0.43,-1.90
201311,3.11,0.78
201411,4.06,1.73
201511,3.80,1.47
201611,0.21,-2.12
201711,1.64,-0.69
201811,3.15,0.82
201911,1.83,-0.50
202011,3.85,1.52
202111,2.88,0.55
202211,3.76,1.43
