Georgia, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,1.81,-1.10
189611,5.25,2.34
189711,1.25,-1.66
189811,4.96,2.05
189911,1.79,-1.12
190011,3.13,0.22
190111,0.98,-1.93
190211,3.52,0.61
190311,2.38,-0.53
190411,3.09,0.18
190511,1.67,-1.24
190611,1.53,-1.38
190711,4.66,1.75
190811,1.19,-1.72
190911,0.93,-1.98
191011,2.18,-0.73
191111,3.94,1.03
191211,2.36,-0.55
191311,0.94,-1.97
191411,4.68,1.77
191511,2.31,-0.60
191611,1.71,-1.20
191711,0.93,-1.98
191811,4.68,1.77
191911,1.81,-1.10
192011,3.89,0.98
192111,3.52,0.61
192211,0.78,-2.13
192311,2.67,-0.24
192411,0.67,-2.24
192511,4.19,1.28
192611,3.68,0.77
192711,1.59,-1.32
192811,0.92,-1.99
192911,4.49,1.58
193011,5.58,2.67
193111,0.58,-2.33
193211,4.62,1.71
193311,0.96,-1.95
193411,1.73,-1.18
193511,2.79,-0.12
193611,1.20,-1.71
193711,2.13,-0.78
193811,2.41,-0.50
193911,0.88,-2.03
194011,3.56,0.65
194111,1.60,-1.31
194211,1.60,-1.31
194311,1.99,-0.92
194411,2.28,-0.63
194511,2.14,-0.77
194611,2.14,-0.77
194711,7.88,4.97
194811,9.00,6.09
194911,1.14,-1.77
195011,1.02,-1.89
195111,4.13,1.22
195211,2.00,-0.91
195311,1.53,-1.38
195411,3.05,0.14
195511,2.18,-0.73
195611,1.04,-1.87
195711,6.65,3.74
195811,1.46,-1.45
195911,1.52,-1.39
196011,0.98,-1.93
196111,2.16,-0.75
196211,4.15,1.24
196311,3.44,0.53
196411,2.29,-0.62
196511,1.96,-0.95
196611,2.56,-0.35
196711,3.37,0.46
196811,4.06,1.15
196911,2.24,-0.67
197011,1.40,-1.51
197111,2.94,0.03
197211,3.90,0.99
197311,2.25,-0.66
197411,2.38,-0.53
197511,2.39,-0.52
197611,4.99,2.08
197711,4.71,1.80
197811,2.86,-0.05
197911,4.00,1.09
198011,1.98,-0.93
198111,1.73,-1.18
198211,3.70,0.79
198311,6.42,3.51
198411,2.28,-0.63
198511,5.21,2.30
198611,6.16,3.25
198711,2.92,0.01
198811,3.05,0.14
198911,3.22,0.31
199011,1.75,-1.16
199111,1.74,-1.17
199211,7.83,4.92
199311,3.70,0.79
199411,3.22,0.31
199511,3.98,1.07
199611,2.46,-0.45
199711,5.63,2.72
199811,1.68,-1.23
199911,2.26,-0.65
200011,4.30,1.39
200111,1.37,-1.54
200211,4.88,1.97
200311,2.82,-0.09
200411,4.65,1.74
200511,2.92,0.01
200611,3.01,0.10
200711,1.32,-1.59
200811,3.59,0.68
200911,3.94,1.03
201011,2.08,-0.83
201111,2.83,-0.08
201211,1.07,-1.84
201311,3.23,0.32
201411,4.36,1.45
201511,6.28,3.37
201611,0.95,-1.96
201711,1.00,-1.91
201811,6.24,3.33
201911,3.18,0.27
202011,2.99,0.08
202111,1.13,-1.78
202211,3.96,1.05
