Idaho, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,1.64,-1.02
189611,5.97,3.31
189711,4.01,1.35
189811,2.65,-0.01
189911,2.73,0.07
190011,2.66,0.00
190111,1.48,-1.18
190211,3.74,1.08
190311,4.32,1.66
190411,0.89,-1.77
190511,2.05,-0.61
190611,3.85,1.19
190711,1.56,-1.10
190811,1.29,-1.37
190911,5.57,2.91
191011,4.86,2.20
191111,2.78,0.12
191211,2.29,-0.37
191311,3.49,0.83
191411,1.09,-1.57
191511,2.84,0.18
191611,1.96,-0.70
191711,1.98,-0.68
191811,1.36,-1.30
191911,2.86,0.20
192011,2.84,0.18
192111,3.86,1.20
192211,1.30,-1.36
192311,1.73,-0.93
192411,2.86,0.20
192511,1.71,-0.95
192611,5.39,2.73
192711,6.55,3.89
192811,1.95,-0.71
192911,0.31,-2.35
193011,1.98,-0.68
193111,2.34,-0.32
193211,2.92,0.26
193311,1.05,-1.61
193411,2.97,0.31
193511,1.30,-1.36
193611,0.24,-2.42
193711,3.55,0.89
193811,2.38,-0.28
193911,0.33,-2.33
194011,2.61,-0.05
194111,2.54,-0.12
194211,5.44,2.78
194311,1.20,-1.46
194411,2.99,0.33
194511,3.48,0.82
194611,4.59,1.93
194711,2.89,0.23
194811,3.50,0.84
194911,2.59,-0.07
195011,2.93,0.27
195111,2.37,-0.29
195211,1.02,-1.64
195311,2.39,-0.27
195411,1.66,-1.00
195511,3.67,1.01
195611,0.91,-1.75
195711,1.69,-0.97
195811,3.66,1.00
195911,1.72,-0.94
196011,4.01,1.35
196111,2.33,-0.33
196211,3.00,0.34
196311,3.60,0.94
196411,3.21,0.55
196511,2.78,0.12
196611,2.95,0.29
196711,1.86,-0.80
196811,3.48,0.82
196911,1.03,-1.63
197011,4.00,1.34
197111,2.82,0.16
197211,1.89,-0.77
197311,5.88,3.22
197411,1.95,-0.71
197511,2.47,-0.19
197611,0.56,-2.10
197711,3.21,0.55
197811,1.74,-0.92
197911,1.49,-1.17
198011,2.37,-0.29
198111,3.58,0.92
198211,2.57,-0.09
198311,4.81,2.15
198411,3.98,1.32
198511,3.06,0.40
198611,2.58,-0.08
198711,1.67,-0.99
198811,5.09,2.43
198911,2.11,-0.55
199011,2.59,-0.07
199111,3.76,1.10
199211,2.51,-0.15
199311,0.97,-1.69
199411,3.41,0.75
199511,4.20,1.54
199611,3.71,1.05
199711,1.74,-0.92
199811,3.96,1.30
199911,2.20,-0.46
200011,1.34,-1.32
200111,2.51,-0.15
200211,1.60,-1.06
200311,2.45,-0.21
200411,1.38,-1.28
200511,2.88,0.22
200611,4.34,1.68
200711,2.04,-0.62
200811,2.80,0.14
200911,1.33,-1.33
201011,3.03,0.37
201111,1.99,-0.67
201211,2.75,0.09
201311,1.72,-0.94
201411,3.32,0.66
201511,2.51,-0.15
201611,1.44,-1.22
201711,3.55,0.89
201811,2.38,-0.28
201911,0.82,-1.84
202011,2.43,-0.23
202111,2.17,-0.49
202211,2.91,0.25
