Indiana, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,5.15,2.05
189611,3.44,0.34
189711,6.35,3.25
189811,2.88,-0.22
189911,2.52,-0.58
190011,4.07,0.97
190111,1.32,-1.78
190211,3.72,0.62
190311,1.80,-1.30
190411,0.36,-2.74
190511,2.61,-0.49
190611,4.12,1.02
190711,2.78,-0.32
190811,2.07,-1.03
190911,3.22,0.12
191011,1.80,-1.30
191111,3.40,0.30
191211,1.97,-1.13
191311,3.64,0.54
191411,1.03,-2.07
191511,2.75,-0.35
191611,1.83,-1.27
191711,0.52,-2.58
191811,2.28,-0.82
191911,3.65,0.55
192011,2.12,-0.98
192111,5.73,2.63
192211,2.17,-0.93
192311,2.25,-0.85
192411,1.36,-1.74
192511,4.35,1.25
192611,2.04,-1.06
192711,5.58,2.48
192811,3.08,-0.02
192911,2.65,-0.45
193011,1.97,-1.13
193111,3.79,0.69
193211,2.49,-0.61
193311,1.05,-2.05
193411,2.96,-0.14
193511,3.53,0.43
193611,3.50,0.40
193711,1.73,-1.37
193811,2.91,-0.19
193911,1.41,-1.69
194011,3.50,0.40
194111,2.90,-0.20
194211,4.71,1.61
194311,2.03,-1.07
194411,2.48,-0.62
194511,3.35,0.25
194611,3.69,0.59
194711,1.98,-1.12
194811,5.27,2.17
194911,1.11,-1.99
195011,5.10,2.00
195111,4.00,0.90
195211,2.72,-0.38
195311,1.35,-1.75
195411,1.42,-1.68
195511,4.19,1.09
195611,2.28,-0.82
195711,4.35,1.25
195811,3.99,0.89
195911,2.88,-0.22
196011,2.39,-0.71
196111,3.05,-0.05
196211,1.46,-1.64
196311,2.03,-1.07
196411,2.31,-0.79
196511,1.35,-1.75
196611,4.66,1.56
196711,2.97,-0.13
196811,4.51,1.41
196911,3.46,0.36
197011,2.38,-0.72
197111,1.36,-1.74
197211,5.25,2.15
197311,4.57,1.47
197411,3.29,0.19
197511,3.24,0.14
197611,0.97,-2.13
197711,2.83,-0.27
197811,3.18,0.08
197911,5.26,2.16
198011,1.46,-1.64
198111,1.82,-1.28
198211,4.96,1.86
198311,4.55,1.45
198411,4.52,1.42
198511,8.20,5.10
198611,2.43,-0.67
198711,2.75,-0.35
198811,5.33,2.23
198911,2.76,-0.34
199011,3.38,0.28
199111,3.16,0.06
199211,5.80,2.70
199311,5.43,2.33
199411,4.51,1.41
199511,2.69,-0.41
199611,4.14,1.04
199711,2.61,-0.49
199811,2.20,-0.90
199911,1.06,-2.04
200011,2.98,-0.12
200111,3.34,0.24
200211,2.35,-0.75
200311,4.26,1.16
200411,4.73,1.63
200511,3.91,0.81
200611,3.25,0.15
200711,2.77,-0.33
200811,2.11,-0.99
200911,1.46,-1.64
201011,5.01,1.91
201111,6.21,3.11
201211,0.98,-2.12
201311,3.04,-0.06
201411,2.66,-0.44
201511,3.57,0.47
201611,2.58,-0.52
201711,4.43,1.33
201811,4.32,1.22
201911,2.70,-0.40
202011,3.02,-0.08
202111,1.43,-1.67
202211,1.59,-1.51
