Kansas, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,1.31,0.04
189611,0.83,-0.44
189711,0.27,-1.00
189811,1.01,-0.26
189911,1.51,0.24
190011,0.42,-0.85
190111,0.55,-0.72
190211,1.20,-0.07
190311,0.85,-0.42
190411,0.14,-1.13
190511,2.31,1.04
190611,1.54,0.27
190711,0.68,-0.59
190811,2.30,1.03
190911,4.68,3.41
191011,0.07,-1.20
191111,0.78,-0.49
191211,0.50,-0.77
191311,1.63,0.36
191411,0.10,-1.17
191511,0.55,-0.72
191611,1.17,-0.10
191711,0.41,-0.86
191811,1.63,0.36
191911,1.89,0.62
192011,1.31,0.04
192111,0.07,-1.20
192211,2.57,1.30
192311,0.86,-0.41
192411,0.69,-0.58
192511,1.47,0.20
192611,1.42,0.15
192711,0.40,-0.87
192811,4.03,2.76
192911,1.67,0.40
193011,2.35,1.08
193111,4.08,2.81
193211,0.28,-0.99
193311,0.69,-0.58
193411,2.35,1.08
193511,2.21,0.94
193611,0.15,-1.12
193711,0.59,-0.68
193811,1.29,0.02
193911,0.70,-0.57
194011,2.57,1.30
194111,0.88,-0.39
194211,0.65,-0.62
194311,0.22,-1.05
194411,1.81,0.54
194511,0.12,-1.15
194611,2.58,1.31
194711,1.12,-0.15
194811,2.07,0.80
194911,0.15,-1.12
195011,0.20,-1.07
195111,0.95,-0.32
195211,1.67,0.40
195311,2.03,0.76
195411,0.02,-1.25
195511,0.10,-1.17
195611,0.82,-0.45
195711,1.44,0.17
195811,1.32,0.05
195911,0.15,-1.12
196011,0.29,-0.98
196111,2.52,1.25
196211,0.96,-0.31
196311,0.65,-0.62
196411,3.21,1.94
196511,0.08,-1.19
196611,0.15,-1.12
196711,0.57,-0.70
196811,1.83,0.56
196911,0.13,-1.14
197011,0.39,-0.88
197111,2.56,1.29
197211,3.19,1.92
197311,1.51,0.24
197411,1.70,0.43
197511,2.86,1.59
197611,0.13,-1.14
197711,1.59,0.32
197811,2.39,1.12
197911,1.79,0.52
198011,0.26,-1.01
198111,2.94,1.67
198211,0.99,-0.28
198311,2.22,0.95
198411,0.84,-0.43
198511,1.56,0.29
198611,1.10,-0.17
198711,1.63,0.36
198811,1.03,-0.24
198911,0.00,-1.27
199011,1.59,0.32
199111,2.36,1.09
199211,3.51,2.24
199311,1.12,-0.15
199411,2.29,1.02
199511,0.32,-0.95
199611,2.80,1.53
199711,0.92,-0.35
199811,4.11,2.84
199911,0.76,-0.51
200011,1.24,-0.03
200111,0.58,-0.69
200211,0.24,-1.03
200311,0.64,-0.63
200411,2.47,1.20
200511,0.68,-0.59
200611,0.47,-0.80
200711,0.15,-1.12
200811,0.95,-0.32
200911,1.08,-0.19
201011,1.53,0.26
201111,2.50,1.23
201211,0.58,-0.69
201311,1.03,-0.24
201411,0.29,-0.98
201511,3.10,1.83
201611,0.47,-0.80
201711,0.16,-1.11
201811,0.81,-0.46
201911,0.65,-0.62
202011,1.31,0.04
202111,0.39,-0.88
202211,1.49,0.22
