Kentucky, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,3.93,0.33
189611,4.73,1.13
189711,4.53,0.93
189811,2.95,-0.65
189911,2.04,-1.56
190011,8.25,4.65
190111,1.64,-1.96
190211,4.46,0.86
190311,3.23,-0.37
190411,1.02,-2.58
190511,3.19,-0.41
190611,5.23,1.63
190711,3.77,0.17
190811,2.69,-0.91
190911,2.29,-1.31
191011,1.84,-1.76
191111,4.57,0.97
191211,1.37,-2.23
191311,3.12,-0.48
191411,1.21,-2.39
191511,4.79,1.19
191611,1.53,-2.07
191711,1.21,-2.39
191811,2.10,-1.50
191911,7.30,3.70
192011,2.39,-1.21
192111,7.65,4.05
192211,1.90,-1.70
192311,3.59,-0.01
192411,1.92,-1.68
192511,5.28,1.68
192611,3.71,0.11
192711,4.92,1.32
192811,3.93,0.33
192911,4.34,0.74
193011,1.91,-1.69
193111,3.63,0.03
193211,2.73,-0.87
193311,1.65,-1.95
193411,3.08,-0.52
193511,3.95,0.35
193611,3.50,-0.10
193711,1.69,-1.91
193811,3.81,0.21
193911,1.25,-2.35
194011,3.73,0.13
194111,2.81,-0.79
194211,4.75,1.15
194311,1.53,-2.07
194411,2.57,-1.03
194511,5.84,2.24
194611,3.50,-0.10
194711,2.92,-0.68
194811,7.66,4.06
194911,1.73,-1.87
195011,5.13,1.53
195111,7.15,3.55
195211,3.22,-0.38
195311,1.49,-2.11
195411,1.92,-1.68
195511,2.64,-0.96
195611,2.32,-1.28
195711,7.98,4.38
195811,3.36,-0.24
195911,3.92,0.32
196011,3.35,-0.25
196111,4.02,0.42
196211,3.31,-0.29
196311,2.41,-1.19
196411,3.44,-0.16
196511,1.83,-1.77
196611,4.00,0.40
196711,4.18,0.58
196811,3.68,0.08
196911,3.50,-0.10
197011,2.47,-1.13
197111,1.95,-1.65
197211,5.40,1.80
197311,7.87,4.27
197411,3.09,-0.51
197511,2.99,-0.61
197611,0.85,-2.75
197711,4.99,1.39
197811,4.68,1.08
197911,5.68,2.08
198011,3.47,-0.13
198111,1.72,-1.88
198211,4.33,0.73
198311,5.16,1.56
198411,6.37,2.77
198511,5.92,2.32
198611,6.69,3.09
198711,3.36,-0.24
198811,7.31,3.71
198911,3.44,-0.16
199011,2.90,-0.70
199111,2.56,-1.04
199211,3.72,0.12
199311,4.35,0.75
199411,3.34,-0.26
199511,3.51,-0.09
199611,5.00,1.40
199711,3.25,-0.35
199811,2.02,-1.58
199911,2.25,-1.35
200011,2.82,-0.78
200111,4.36,0.76
200211,3.52,-0.08
200311,5.57,1.97
200411,5.68,2.08
200511,3.04,-0.56
200611,3.22,-0.38
200711,3.31,-0.29
200811,2.60,-1.00
200911,1.07,-2.53
201011,4.90,1.30
201111,7.58,3.98
201211,1.34,-2.26
201311,3.40,-0.20
201411,2.43,-1.17
201511,4.39,0.79
201611,2.07,-1.53
201711,2.29,-1.31
201811,5.82,2.22
201911,4.69,1.09
202011,2.23,-1.37
202111,1.98,-1.62
202211,2.58,-1.02
