Louisiana, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,3.83,-0.49
189611,5.68,1.36
189711,3.09,-1.23
189811,7.24,2.92
189911,2.37,-1.95
190011,3.07,-1.25
190111,2.44,-1.88
190211,5.24,0.92
190311,0.36,-3.96
190411,2.14,-2.18
190511,4.99,0.67
190611,3.72,-0.60
190711,6.10,1.78
190811,2.67,-1.65
190911,1.79,-2.53
191011,2.42,-1.90
191111,4.14,-0.18
191211,1.17,-3.15
191311,2.68,-1.64
191411,5.25,0.93
191511,2.95,-1.37
191611,1.28,-3.04
191711,1.22,-3.10
191811,5.59,1.27
191911,7.46,3.14
192011,3.84,-0.48
192111,2.12,-2.20
192211,4.07,-0.25
192311,6.25,1.93
192411,0.72,-3.60
192511,6.15,1.83
192611,3.87,-0.45
192711,3.78,-0.54
192811,3.16,-1.16
192911,10.09,5.77
193011,5.86,1.54
193111,4.99,0.67
193211,4.25,-0.07
193311,1.62,-2.70
193411,8.27,3.95
193511,3.57,-0.75
193611,3.88,-0.44
193711,2.89,-1.43
193811,4.09,-0.23
193911,3.01,-1.31
194011,8.85,4.53
194111,2.99,-1.33
194211,1.12,-3.20
194311,3.61,-0.71
194411,7.62,3.30
194511,2.44,-1.88
194611,7.08,2.76
194711,9.21,4.89
194811,11.19,6.87
194911,0.40,-3.92
195011,2.08,-2.24
195111,2.66,-1.66
195211,4.45,0.13
195311,4.75,0.43
195411,2.52,-1.80
195511,3.42,-0.90
195611,3.24,-1.08
195711,9.66,5.34
195811,2.39,-1.93
195911,2.34,-1.98
196011,2.59,-1.73
196111,7.63,3.31
196211,3.18,-1.14
196311,5.89,1.57
196411,4.31,-0.01
196511,2.60,-1.72
196611,2.41,-1.91
196711,0.54,-3.78
196811,6.33,2.01
196911,2.15,-2.17
197011,2.12,-2.20
197111,2.99,-1.33
197211,5.81,1.49
197311,5.77,1.45
197411,6.05,1.73
197511,3.24,-1.08
197611,4.35,0.03
197711,8.08,3.76
197811,4.71,0.39
197911,5.13,0.81
198011,3.97,-0.35
198111,2.17,-2.15
198211,6.60,2.28
198311,5.88,1.56
198411,4.68,0.36
198511,2.44,-1.88
198611,9.03,4.71
198711,8.45,4.13
198811,2.96,-1.36
198911,5.17,0.85
199011,4.32,0.00
199111,3.32,-1.00
199211,8.26,3.94
199311,5.10,0.78
199411,2.38,-1.94
199511,4.83,0.51
199611,3.63,-0.69
199711,5.37,1.05
199811,5.18,0.86
199911,1.04,-3.28
200011,11.52,7.20
200111,5.94,1.62
200211,5.48,1.16
200311,5.48,1.16
200411,9.23,4.91
200511,2.75,-1.57
200611,2.60,-1.72
200711,3.22,-1.10
200811,3.75,-0.57
200911,1.71,-2.61
201011,5.36,1.04
201111,3.69,-0.63
201211,1.68,-2.64
201311,5.02,0.70
201411,3.50,-0.82
201511,9.09,4.77
201611,2.95,-1.37
201711,1.58,-2.74
201811,6.98,2.66
201911,1.68,-2.64
202011,3.57,-0.75
202111,1.33,-2.99
202211,6.69,2.37
