Massachusetts, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,6.00,2.01
189611,3.34,-0.65
189711,6.73,2.74
189811,6.44,2.45
189911,2.05,-1.94
190011,5.63,1.64
190111,2.15,-1.84
190211,1.27,-2.72
190311,2.16,-1.83
190411,1.63,-2.36
190511,2.41,-1.58
190611,2.65,-1.34
190711,5.60,1.61
190811,1.06,-2.93
190911,2.98,-1.01
191011,4.01,0.02
191111,4.61,0.62
191211,3.74,-0.25
191311,2.49,-1.50
191411,2.78,-1.21
191511,2.64,-1.35
191611,2.79,-1.20
191711,0.87,-3.12
191811,2.61,-1.38
191911,5.61,1.62
192011,5.11,1.12
192111,7.22,3.23
192211,1.40,-2.59
192311,4.28,0.29
192411,2.52,-1.47
192511,3.60,-0.39
192611,4.88,0.89
192711,7.10,3.11
192811,2.00,-1.99
192911,3.01,-0.98
193011,3.83,-0.16
193111,1.24,-2.75
193211,5.82,1.83
193311,1.51,-2.48
193411,3.24,-0.75
193511,5.21,1.22
193611,1.74,-2.25
193711,5.75,1.76
193811,3.26,-0.73
193911,1.34,-2.65
194011,6.31,2.32
194111,2.87,-1.12
194211,5.45,1.46
194311,4.56,0.57
194411,5.77,1.78
194511,6.27,2.28
194611,1.15,-2.84
194711,5.26,1.27
194811,5.70,1.71
194911,2.70,-1.29
195011,6.39,2.40
195111,6.63,2.64
195211,2.36,-1.63
195311,4.58,0.59
195411,5.61,1.62
195511,5.11,1.12
195611,3.78,-0.21
195711,4.70,0.71
195811,3.70,-0.29
195911,5.44,1.45
196011,3.04,-0.95
196111,3.84,-0.15
196211,3.86,-0.13
196311,6.71,2.72
196411,2.41,-1.58
196511,2.45,-1.54
196611,4.29,0.30
196711,3.41,-0.58
196811,6.44,2.45
196911,7.17,3.18
197011,4.09,0.10
197111,5.40,1.41
197211,7.60,3.61
197311,2.52,-1.47
197411,2.86,-1.13
197511,5.79,1.80
197611,1.02,-2.97
197711,3.83,-0.16
197811,2.39,-1.60
197911,4.15,0.16
198011,3.73,-0.26
198111,3.29,-0.70
198211,3.93,-0.06
198311,7.99,4.00
198411,2.77,-1.22
198511,6.49,2.50
198611,5.92,1.93
198711,3.04,-0.95
198811,7.51,3.52
198911,4.67,0.68
199011,2.58,-1.41
199111,4.92,0.93
199211,4.98,0.99
199311,4.28,0.29
199411,4.15,0.16
199511,5.81,1.82
199611,3.10,-0.89
199711,6.47,2.48
199811,2.33,-1.66
199911,2.98,-1.01
200011,3.53,-0.46
200111,1.22,-2.77
200211,5.88,1.89
200311,3.03,-0.96
200411,3.78,-0.21
200511,5.08,1.09
200611,5.54,1.55
200711,3.63,-0.36
200811,3.81,-0.18
200911,3.25,-0.74
201011,3.82,-0.17
201111,3.76,-0.23
201211,1.14,-2.85
201311,3.69,-0.30
201411,4.71,0.72
201511,2.48,-1.51
201611,2.58,-1.41
201711,1.82,-2.17
201811,8.77,4.78
201911,3.32,-0.67
202011,3.80,-0.19
202111,2.29,-1.70
202211,3.22,-0.77
