Maryland, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,1.94,-1.05
189611,2.63,-0.36
189711,4.45,1.46
189811,3.93,0.94
189911,1.96,-1.03
190011,2.98,-0.01
190111,2.48,-0.51
190211,3.33,0.34
190311,1.26,-1.73
190411,1.78,-1.21
190511,1.22,-1.77
190611,1.76,-1.23
190711,5.28,2.29
190811,1.02,-1.97
190911,1.41,-1.58
191011,2.16,-0.83
191111,4.07,1.08
191211,2.20,-0.79
191311,2.03,-0.96
191411,2.10,-0.89
191511,1.29,-1.70
191611,2.25,-0.74
191711,0.60,-2.39
191811,1.49,-1.50
191911,3.30,0.31
192011,4.32,1.33
192111,4.26,1.27
192211,0.67,-2.32
192311,2.73,-0.26
192411,1.89,-1.10
192511,2.99,0.00
192611,4.50,1.51
192711,2.68,-0.31
192811,1.80,-1.19
192911,2.56,-0.43
193011,1.22,-1.77
193111,0.94,-2.05
193211,5.12,2.13
193311,1.41,-1.58
193411,3.51,0.52
193511,4.42,1.43
193611,0.99,-2.00
193711,3.74,0.75
193811,2.85,-0.14
193911,1.44,-1.55
194011,5.10,2.11
194111,1.65,-1.34
194211,2.27,-0.72
194311,2.80,-0.19
194411,3.61,0.62
194511,4.22,1.23
194611,1.50,-1.49
194711,5.57,2.58
194811,5.63,2.64
194911,1.78,-1.21
195011,3.30,0.31
195111,5.32,2.33
195211,6.07,3.08
195311,2.06,-0.93
195411,2.65,-0.34
195511,1.81,-1.18
195611,3.59,0.60
195711,3.41,0.42
195811,2.57,-0.42
195911,3.56,0.57
196011,1.77,-1.22
196111,2.30,-0.69
196211,5.44,2.45
196311,6.33,3.34
196411,2.16,-0.83
196511,0.82,-2.17
196611,1.94,-1.05
196711,2.16,-0.83
196811,3.94,0.95
196911,2.24,-0.75
197011,4.33,1.34
197111,3.94,0.95
197211,6.67,3.68
197311,1.49,-1.50
197411,1.57,-1.42
197511,2.56,-0.43
197611,0.99,-2.00
197711,5.01,2.02
197811,3.09,0.10
197911,3.64,0.65
198011,3.06,0.07
198111,0.72,-2.27
198211,3.89,0.90
198311,5.28,2.29
198411,3.39,0.40
198511,5.75,2.76
198611,4.95,1.96
198711,3.80,0.81
198811,4.89,1.90
198911,2.70,-0.29
199011,1.99,-1.00
199111,1.60,-1.39
199211,3.88,0.89
199311,4.03,1.04
199411,3.17,0.18
199511,4.40,1.41
199611,3.14,0.15
199711,6.20,3.21
199811,1.04,-1.95
199911,2.08,-0.91
200011,2.05,-0.94
200111,1.01,-1.98
200211,4.43,1.44
200311,4.63,1.64
200411,4.45,1.46
200511,3.01,0.02
200611,5.22,2.23
200711,1.77,-1.22
200811,3.33,0.34
200911,4.47,1.48
201011,2.14,-0.85
201111,3.42,0.43
201211,0.75,-2.24
201311,2.73,-0.26
201411,3.09,0.10
201511,2.62,-0.37
201611,1.00,-1.99
201711,1.96,-1.03
201811,6.95,3.96
201911,1.70,-1.29
202011,4.76,1.77
202111,0.98,-2.01
202211,2.92,-0.07
