Maine, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,6.52,2.54
189611,4.27,0.29
189711,5.33,1.35
189811,5.35,1.37
189911,2.70,-1.28
190011,5.43,1.45
190111,2.32,-1.66
190211,1.70,-2.28
190311,2.31,-1.67
190411,1.79,-2.19
190511,3.78,-0.20
190611,3.51,-0.47
190711,4.13,0.15
190811,1.79,-2.19
190911,4.42,0.44
191011,2.39,-1.59
191111,4.00,0.02
191211,4.47,0.49
191311,2.19,-1.79
191411,2.65,-1.33
191511,2.85,-1.13
191611,3.07,-0.91
191711,1.44,-2.54
191811,3.64,-0.34
191911,3.97,-0.01
192011,3.33,-0.65
192111,4.77,0.79
192211,2.16,-1.82
192311,3.76,-0.22
192411,3.25,-0.73
192511,4.59,0.61
192611,5.23,1.25
192711,6.72,2.74
192811,2.50,-1.48
192911,2.55,-1.43
193011,2.96,-1.02
193111,1.36,-2.62
193211,4.32,0.34
193311,2.86,-1.12
193411,3.49,-0.49
193511,4.93,0.95
193611,2.50,-1.48
193711,4.46,0.48
193811,2.71,-1.27
193911,0.80,-3.18
194011,6.00,2.02
194111,3.27,-0.71
194211,3.49,-0.49
194311,6.06,2.08
194411,4.14,0.16
194511,4.14,0.16
194611,3.38,-0.60
194711,4.13,0.15
194811,5.93,1.95
194911,4.54,0.56
195011,8.33,4.35
195111,6.07,2.09
195211,2.02,-1.96
195311,3.90,-0.08
195411,4.04,0.06
195511,3.34,-0.64
195611,3.11,-0.87
195711,5.32,1.34
195811,3.70,-0.28
195911,6.57,2.59
196011,3.41,-0.57
196111,4.45,0.47
196211,5.39,1.41
196311,8.55,4.57
196411,3.17,-0.81
196511,4.58,0.60
196611,5.48,1.50
196711,3.32,-0.66
196811,5.55,1.57
196911,7.00,3.02
197011,2.76,-1.22
197111,3.30,-0.68
197211,4.65,0.67
197311,3.23,-0.75
197411,4.24,0.26
197511,4.76,0.78
197611,2.22,-1.76
197711,3.29,-0.69
197811,2.10,-1.88
197911,3.76,-0.22
198011,4.07,0.09
198111,3.04,-0.94
198211,4.97,0.99
198311,9.44,5.46
198411,2.76,-1.22
198511,4.37,0.39
198611,3.83,-0.15
198711,2.74,-1.24
198811,5.94,1.96
198911,5.08,1.10
199011,4.28,0.30
199111,3.27,-0.71
199211,3.22,-0.76
199311,4.04,0.06
199411,4.21,0.23
199511,6.47,2.49
199611,2.05,-1.93
199711,3.97,-0.01
199811,2.69,-1.29
199911,3.49,-0.49
200011,2.99,-0.99
200111,2.23,-1.75
200211,4.21,0.23
200311,4.40,0.42
200411,4.19,0.21
200511,6.27,2.29
200611,4.97,0.99
200711,6.90,2.92
200811,5.34,1.36
200911,4.77,0.79
201011,5.20,1.22
201111,2.49,-1.49
201211,1.29,-2.69
201311,4.11,0.13
201411,3.50,-0.48
201511,2.43,-1.55
201611,3.82,-0.16
201711,2.77,-1.21
201811,6.18,2.20
201911,4.08,0.10
202011,3.83,-0.15
202111,3.28,-0.70
202211,4.48,0.50
