Mississippi, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,2.98,-1.23
189611,4.59,0.38
189711,2.43,-1.78
189811,5.44,1.23
189911,2.61,-1.60
190011,2.82,-1.39
190111,2.43,-1.78
190211,4.46,0.25
190311,1.31,-2.90
190411,2.85,-1.36
190511,2.94,-1.27
190611,4.17,-0.04
190711,5.41,1.20
190811,1.85,-2.36
190911,1.61,-2.60
191011,2.22,-1.99
191111,4.41,0.20
191211,1.50,-2.71
191311,2.43,-1.78
191411,3.51,-0.70
191511,4.62,0.41
191611,1.85,-2.36
191711,1.54,-2.67
191811,4.20,-0.01
191911,8.43,4.22
192011,3.14,-1.07
192111,2.32,-1.89
192211,3.58,-0.63
192311,5.09,0.88
192411,0.48,-3.73
192511,5.19,0.98
192611,4.20,-0.01
192711,4.54,0.33
192811,3.16,-1.05
192911,9.12,4.91
193011,6.37,2.16
193111,4.49,0.28
193211,3.68,-0.53
193311,1.34,-2.87
193411,7.60,3.39
193511,3.58,-0.63
193611,2.96,-1.25
193711,3.85,-0.36
193811,3.31,-0.90
193911,1.46,-2.75
194011,5.52,1.31
194111,3.54,-0.67
194211,1.35,-2.86
194311,4.01,-0.20
194411,5.33,1.12
194511,3.85,-0.36
194611,6.91,2.70
194711,7.87,3.66
194811,14.30,10.09
194911,0.43,-3.78
195011,2.92,-1.29
195111,3.28,-0.93
195211,3.80,-0.41
195311,2.54,-1.67
195411,2.92,-1.29
195511,3.42,-0.79
195611,2.09,-2.12
195711,10.08,5.87
195811,3.36,-0.85
195911,3.14,-1.07
196011,2.37,-1.84
196111,9.44,5.23
196211,2.87,-1.34
196311,3.77,-0.44
196411,4.81,0.60
196511,1.92,-2.29
196611,2.53,-1.68
196711,1.87,-2.34
196811,5.47,1.26
196911,3.35,-0.86
197011,2.33,-1.88
197111,2.19,-2.02
197211,6.32,2.11
197311,7.79,3.58
197411,4.81,0.60
197511,4.37,0.16
197611,3.65,-0.56
197711,8.71,4.50
197811,3.85,-0.36
197911,7.42,3.21
198011,4.53,0.32
198111,1.63,-2.58
198211,6.26,2.05
198311,7.25,3.04
198411,5.31,1.10
198511,1.98,-2.23
198611,9.90,5.69
198711,5.80,1.59
198811,5.60,1.39
198911,6.04,1.83
199011,3.87,-0.34
199111,3.56,-0.65
199211,7.38,3.17
199311,4.84,0.63
199411,3.69,-0.52
199511,4.87,0.66
199611,4.34,0.13
199711,4.27,0.06
199811,3.78,-0.43
199911,1.99,-2.22
200011,9.17,4.96
200111,6.59,2.38
200211,4.32,0.11
200311,5.27,1.06
200411,8.29,4.08
200511,2.93,-1.28
200611,3.53,-0.68
200711,2.22,-1.99
200811,3.26,-0.95
200911,2.00,-2.21
201011,5.58,1.37
201111,4.10,-0.11
201211,2.18,-2.03
201311,5.25,1.04
201411,3.17,-1.04
201511,7.45,3.24
201611,3.29,-0.92
201711,1.32,-2.89
201811,6.52,2.31
201911,2.71,-1.50
202011,2.84,-1.37
202111,1.26,-2.95
202211,5.57,1.36
