Montana, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,1.59,0.28
189611,3.74,2.43
189711,3.88,2.57
189811,1.40,0.09
189911,0.91,-0.40
190011,1.52,0.21
190111,0.74,-0.57
190211,2.11,0.80
190311,1.95,0.64
190411,0.24,-1.07
190511,1.30,-0.01
190611,2.26,0.95
190711,0.44,-0.87
190811,0.34,-0.97
190911,2.16,0.85
191011,2.23,0.92
191111,1.75,0.44
191211,0.89,-0.42
191311,1.10,-0.21
191411,0.81,-0.50
191511,1.47,0.16
191611,1.00,-0.31
191711,0.34,-0.97
191811,1.06,-0.25
191911,1.44,0.13
192011,0.61,-0.70
192111,2.39,1.08
192211,1.33,0.02
192311,0.85,-0.46
192411,1.62,0.31
192511,0.50,-0.81
192611,2.22,0.91
192711,3.56,2.25
192811,0.52,-0.79
192911,0.95,-0.36
193011,1.37,0.06
193111,1.43,0.12
193211,1.44,0.13
193311,1.01,-0.30
193411,0.70,-0.61
193511,0.74,-0.57
193611,0.49,-0.82
193711,1.10,-0.21
193811,1.36,0.05
193911,0.26,-1.05
194011,1.49,0.18
194111,1.80,0.49
194211,2.18,0.87
194311,0.72,-0.59
194411,1.17,-0.14
194511,1.29,-0.02
194611,1.98,0.67
194711,1.68,0.37
194811,1.57,0.26
194911,0.91,-0.40
195011,1.60,0.29
195111,0.86,-0.45
195211,0.80,-0.51
195311,0.90,-0.41
195411,0.50,-0.81
195511,2.14,0.83
195611,0.78,-0.53
195711,0.93,-0.38
195811,2.64,1.33
195911,2.14,0.83
196011,1.35,0.04
196111,1.26,-0.05
196211,1.63,0.32
196311,0.84,-0.47
196411,1.45,0.14
196511,1.09,-0.22
196611,1.74,0.43
196711,1.02,-0.29
196811,1.38,0.07
196911,0.53,-0.78
197011,1.51,0.20
197111,0.93,-0.38
197211,0.52,-0.79
197311,2.08,0.77
197411,0.99,-0.32
197511,1.52,0.21
197611,0.74,-0.57
197711,1.49,0.18
197811,1.76,0.45
197911,0.52,-0.79
198011,0.98,-0.33
198111,1.08,-0.23
198211,0.89,-0.42
198311,1.54,0.23
198411,1.16,-0.15
198511,1.60,0.29
198611,1.78,0.47
198711,0.48,-0.83
198811,1.36,0.05
198911,1.75,0.44
199011,1.50,0.19
199111,1.60,0.29
199211,1.18,-0.13
199311,0.86,-0.45
199411,1.29,-0.02
199511,2.00,0.69
199611,1.96,0.65
199711,0.75,-0.56
199811,1.92,0.61
199911,1.19,-0.12
200011,0.98,-0.33
200111,0.71,-0.60
200211,0.66,-0.65
200311,1.15,-0.16
200411,0.60,-0.71
200511,1.66,0.35
200611,1.71,0.40
200711,0.92,-0.39
200811,1.37,0.06
200911,0.56,-0.75
201011,1.92,0.61
201111,1.08,-0.23
201211,1.45,0.14
201311,0.91,-0.40
201411,1.98,0.67
201511,1.34,0.03
201611,0.65,-0.66
201711,1.70,0.39
201811,1.44,0.13
201911,1.12,-0.19
202011,1.23,-0.08
202111,0.99,-0.32
202211,1.35,0.04
