North Carolina, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,2.95,-0.18
189611,4.70,1.57
189711,2.76,-0.37
189811,3.48,0.35
189911,1.54,-1.59
190011,4.17,1.04
190111,1.38,-1.75
190211,3.99,0.86
190311,1.78,-1.35
190411,3.46,0.33
190511,0.85,-2.28
190611,1.64,-1.49
190711,4.83,1.70
190811,1.77,-1.36
190911,0.77,-2.36
191011,0.83,-2.30
191111,4.07,0.94
191211,2.54,-0.59
191311,1.75,-1.38
191411,3.52,0.39
191511,2.24,-0.89
191611,1.41,-1.72
191711,0.97,-2.16
191811,2.43,-0.70
191911,1.10,-2.03
192011,4.89,1.76
192111,3.14,0.01
192211,0.66,-2.47
192311,3.00,-0.13
192411,1.44,-1.69
192511,3.27,0.14
192611,4.03,0.90
192711,2.47,-0.66
192811,1.47,-1.66
192911,4.45,1.32
193011,3.22,0.09
193111,0.75,-2.38
193211,5.17,2.04
193311,1.01,-2.12
193411,4.91,1.78
193511,3.78,0.65
193611,2.32,-0.81
193711,3.06,-0.07
193811,3.76,0.63
193911,2.05,-1.08
194011,4.20,1.07
194111,1.17,-1.96
194211,1.69,-1.44
194311,1.56,-1.57
194411,3.39,0.26
194511,2.91,-0.22
194611,2.89,-0.24
194711,6.57,3.44
194811,8.62,5.49
194911,2.91,-0.22
195011,1.50,-1.63
195111,3.69,0.56
195211,4.13,1.00
195311,2.39,-0.74
195411,2.82,-0.31
195511,2.39,-0.74
195611,1.67,-1.46
195711,7.04,3.91
195811,1.71,-1.42
195911,2.64,-0.49
196011,1.48,-1.65
196111,2.82,-0.31
196211,5.79,2.66
196311,5.39,2.26
196411,2.12,-1.01
196511,1.66,-1.47
196611,2.06,-1.07
196711,2.62,-0.51
196811,3.93,0.80
196911,3.02,-0.11
197011,2.37,-0.76
197111,2.52,-0.61
197211,5.53,2.40
197311,1.64,-1.49
197411,2.49,-0.64
197511,2.73,-0.40
197611,2.64,-0.49
197711,5.00,1.87
197811,3.98,0.85
197911,5.47,2.34
198011,2.73,-0.40
198111,1.03,-2.10
198211,3.29,0.16
198311,4.50,1.37
198411,2.07,-1.06
198511,6.95,3.82
198611,3.96,0.83
198711,3.50,0.37
198811,3.80,0.67
198911,3.39,0.26
199011,2.19,-0.94
199111,2.12,-1.01
199211,6.35,3.22
199311,2.90,-0.23
199411,3.01,-0.12
199511,4.18,1.05
199611,3.54,0.41
199711,3.77,0.64
199811,2.10,-1.03
199911,2.37,-0.76
200011,3.14,0.01
200111,1.15,-1.98
200211,4.51,1.38
200311,2.79,-0.34
200411,4.00,0.87
200511,3.71,0.58
200611,6.75,3.62
200711,0.91,-2.22
200811,3.49,0.36
200911,6.89,3.76
201011,1.59,-1.54
201111,4.33,1.20
201211,0.93,-2.20
201311,3.53,0.40
201411,3.77,0.64
201511,7.20,4.07
201611,1.11,-2.02
201711,1.30,-1.83
201811,6.33,3.20
201911,3.34,0.21
202011,6.15,3.02
202111,0.91,-2.22
202211,4.14,1.01
