North Dakota, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,1.11,0.50
189611,2.29,1.68
189711,0.44,-0.17
189811,0.33,-0.28
189911,0.29,-0.32
190011,0.58,-0.03
190111,0.25,-0.36
190211,0.34,-0.27
190311,0.34,-0.27
190411,0.10,-0.51
190511,1.41,0.80
190611,1.33,0.72
190711,0.08,-0.53
190811,0.78,0.17
190911,0.53,-0.08
191011,0.43,-0.18
191111,0.68,0.07
191211,0.06,-0.55
191311,0.23,-0.38
191411,0.32,-0.29
191511,0.84,0.23
191611,0.24,-0.37
191711,0.13,-0.48
191811,1.00,0.39
191911,1.15,0.54
192011,0.39,-0.22
192111,0.70,0.09
192211,2.29,1.68
192311,0.47,-0.14
192411,0.20,-0.41
192511,0.24,-0.37
192611,0.67,0.06
192711,0.75,0.14
192811,0.53,-0.08
192911,0.62,0.01
193011,0.92,0.31
193111,0.63,0.02
193211,0.48,-0.13
193311,0.69,0.08
193411,0.27,-0.34
193511,0.74,0.13
193611,0.35,-0.26
193711,0.40,-0.21
193811,0.87,0.26
193911,0.03,-0.58
194011,0.63,0.02
194111,0.39,-0.22
194211,0.16,-0.45
194311,0.44,-0.17
194411,2.23,1.62
194511,0.51,-0.10
194611,0.34,-0.27
194711,1.04,0.43
194811,1.09,0.48
194911,0.31,-0.30
195011,0.49,-0.12
195111,0.28,-0.33
195211,0.46,-0.15
195311,0.37,-0.24
195411,0.21,-0.40
195511,0.91,0.30
195611,1.34,0.73
195711,0.62,0.01
195811,1.47,0.86
195911,0.88,0.27
196011,0.38,-0.23
196111,0.07,-0.54
196211,0.49,-0.12
196311,0.10,-0.51
196411,0.60,-0.01
196511,0.44,-0.17
196611,0.32,-0.29
196711,0.19,-0.42
196811,0.47,-0.14
196911,0.07,-0.54
197011,0.98,0.37
197111,0.41,-0.20
197211,0.14,-0.47
197311,0.68,0.07
197411,0.58,-0.03
197511,0.53,-0.08
197611,0.13,-0.48
197711,1.43,0.82
197811,0.96,0.35
197911,0.25,-0.36
198011,0.42,-0.19
198111,0.61,0.00
198211,0.47,-0.14
198311,0.64,0.03
198411,0.45,-0.16
198511,1.03,0.42
198611,1.41,0.80
198711,0.19,-0.42
198811,0.67,0.06
198911,0.58,-0.03
199011,0.08,-0.53
199111,0.48,-0.13
199211,1.07,0.46
199311,1.03,0.42
199411,1.03,0.42
199511,0.81,0.20
199611,1.43,0.82
199711,0.34,-0.27
199811,1.22,0.61
199911,0.05,-0.56
200011,2.33,1.72
200111,0.24,-0.37
200211,0.13,-0.48
200311,0.47,-0.14
200411,0.12,-0.49
200511,1.15,0.54
200611,0.17,-0.44
200711,0.17,-0.44
200811,1.44,0.83
200911,0.07,-0.54
201011,0.63,0.02
201111,0.16,-0.45
201211,0.68,0.07
201311,0.21,-0.40
201411,0.46,-0.15
201511,0.49,-0.12
201611,0.91,0.30
201711,0.31,-0.30
201811,0.76,0.15
201911,0.61,0.00
202011,0.11,-0.50
202111,0.45,-0.16
202211,0.71,0.10
