Nebraska, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,0.86,0.04
189611,1.11,0.29
189711,0.49,-0.33
189811,0.59,-0.23
189911,0.84,0.02
190011,0.14,-0.68
190111,0.44,-0.38
190211,0.41,-0.41
190311,0.70,-0.12
190411,0.09,-0.73
190511,1.36,0.54
190611,0.68,-0.14
190711,0.24,-0.58
190811,0.67,-0.15
190911,2.55,1.73
191011,0.15,-0.67
191111,0.26,-0.56
191211,0.50,-0.32
191311,0.67,-0.15
191411,0.01,-0.81
191511,0.54,-0.28
191611,0.60,-0.22
191711,0.49,-0.33
191811,1.09,0.27
191911,2.54,1.72
192011,1.09,0.27
192111,0.34,-0.48
192211,2.53,1.71
192311,0.38,-0.44
192411,0.28,-0.54
192511,0.28,-0.54
192611,1.45,0.63
192711,0.34,-0.48
192811,1.73,0.91
192911,0.97,0.15
193011,1.88,1.06
193111,2.00,1.18
193211,0.13,-0.69
193311,0.30,-0.52
193411,1.09,0.27
193511,0.96,0.14
193611,0.33,-0.49
193711,0.22,-0.60
193811,0.71,-0.11
193911,0.03,-0.79
194011,1.02,0.20
194111,0.56,-0.26
194211,0.44,-0.38
194311,0.28,-0.54
194411,1.54,0.72
194511,0.17,-0.65
194611,1.76,0.94
194711,1.61,0.79
194811,1.53,0.71
194911,0.21,-0.61
195011,0.46,-0.36
195111,0.35,-0.47
195211,1.00,0.18
195311,1.46,0.64
195411,0.19,-0.63
195511,0.33,-0.49
195611,0.98,0.16
195711,0.92,0.10
195811,0.59,-0.23
195911,0.39,-0.43
196011,0.53,-0.29
196111,0.84,0.02
196211,0.23,-0.59
196311,0.35,-0.47
196411,0.32,-0.50
196511,0.22,-0.60
196611,0.16,-0.66
196711,0.29,-0.53
196811,0.59,-0.23
196911,0.26,-0.56
197011,0.80,-0.02
197111,1.49,0.67
197211,2.03,1.21
197311,1.34,0.52
197411,0.37,-0.45
197511,2.13,1.31
197611,0.13,-0.69
197711,1.04,0.22
197811,0.95,0.13
197911,1.62,0.80
198011,0.13,-0.69
198111,1.71,0.89
198211,1.44,0.62
198311,2.45,1.63
198411,0.83,0.01
198511,0.90,0.08
198611,0.53,-0.29
198711,1.37,0.55
198811,0.72,-0.10
198911,0.06,-0.76
199011,1.17,0.35
199111,1.66,0.84
199211,1.01,0.19
199311,1.03,0.21
199411,1.18,0.36
199511,0.49,-0.33
199611,1.80,0.98
199711,0.57,-0.25
199811,2.07,1.25
199911,0.39,-0.43
200011,1.38,0.56
200111,1.59,0.77
200211,0.16,-0.66
200311,0.93,0.11
200411,1.48,0.66
200511,1.01,0.19
200611,0.24,-0.58
200711,0.05,-0.77
200811,0.79,-0.03
200911,0.28,-0.54
201011,0.67,-0.15
201111,0.48,-0.34
201211,0.29,-0.53
201311,0.78,-0.04
201411,0.32,-0.50
201511,1.95,1.13
201611,0.86,0.04
201711,0.23,-0.59
201811,0.87,0.05
201911,0.96,0.14
202011,0.81,-0.01
202111,0.31,-0.51
202211,0.31,-0.51
