New Hampshire, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,6.59,2.63
189611,3.83,-0.13
189711,6.79,2.83
189811,4.74,0.78
189911,2.22,-1.74
190011,6.41,2.45
190111,2.14,-1.82
190211,1.27,-2.69
190311,1.65,-2.31
190411,1.49,-2.47
190511,2.45,-1.51
190611,2.66,-1.30
190711,4.18,0.22
190811,1.40,-2.56
190911,2.56,-1.40
191011,2.83,-1.13
191111,3.33,-0.63
191211,3.67,-0.29
191311,2.13,-1.83
191411,2.54,-1.42
191511,2.82,-1.14
191611,3.51,-0.45
191711,0.88,-3.08
191811,2.69,-1.27
191911,5.32,1.36
192011,4.46,0.50
192111,6.19,2.23
192211,1.50,-2.46
192311,5.08,1.12
192411,3.74,-0.22
192511,3.99,0.03
192611,4.92,0.96
192711,8.58,4.62
192811,2.35,-1.61
192911,2.87,-1.09
193011,3.17,-0.79
193111,1.63,-2.33
193211,5.28,1.32
193311,2.16,-1.80
193411,3.92,-0.04
193511,5.29,1.33
193611,2.47,-1.49
193711,5.65,1.69
193811,3.21,-0.75
193911,1.35,-2.61
194011,6.46,2.50
194111,3.15,-0.81
194211,5.03,1.07
194311,6.44,2.48
194411,3.31,-0.65
194511,5.09,1.13
194611,2.33,-1.63
194711,5.65,1.69
194811,6.46,2.50
194911,3.04,-0.92
195011,6.65,2.69
195111,5.95,1.99
195211,2.16,-1.80
195311,3.19,-0.77
195411,5.22,1.26
195511,3.73,-0.23
195611,3.13,-0.83
195711,5.40,1.44
195811,3.77,-0.19
195911,6.29,2.33
196011,3.00,-0.96
196111,4.05,0.09
196211,3.54,-0.42
196311,8.21,4.25
196411,3.68,-0.28
196511,3.67,-0.29
196611,3.71,-0.25
196711,3.31,-0.65
196811,6.27,2.31
196911,6.98,3.02
197011,3.00,-0.96
197111,4.02,0.06
197211,6.43,2.47
197311,3.32,-0.64
197411,4.15,0.19
197511,5.07,1.11
197611,1.79,-2.17
197711,3.95,-0.01
197811,2.05,-1.91
197911,3.44,-0.52
198011,4.04,0.08
198111,2.91,-1.05
198211,4.19,0.23
198311,8.91,4.95
198411,3.42,-0.54
198511,5.37,1.41
198611,4.74,0.78
198711,2.80,-1.16
198811,6.17,2.21
198911,4.76,0.80
199011,3.58,-0.38
199111,3.91,-0.05
199211,4.61,0.65
199311,3.98,0.02
199411,3.16,-0.80
199511,5.55,1.59
199611,2.94,-1.02
199711,6.12,2.16
199811,3.10,-0.86
199911,3.10,-0.86
200011,3.80,-0.16
200111,2.21,-1.75
200211,4.84,0.88
200311,3.77,-0.19
200411,4.10,0.14
200511,5.63,1.67
200611,4.67,0.71
200711,4.43,0.47
200811,4.44,0.48
200911,4.10,0.14
201011,3.66,-0.30
201111,3.41,-0.55
201211,0.80,-3.16
201311,3.89,-0.07
201411,3.27,-0.69
201511,2.36,-1.60
201611,3.04,-0.92
201711,2.04,-1.92
201811,7.75,3.79
201911,3.70,-0.26
202011,3.08,-0.88
202111,2.85,-1.11
202211,3.62,-0.34
