New Mexico, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,1.24,0.59
189611,0.19,-0.46
189711,0.18,-0.47
189811,0.63,-0.02
189911,1.06,0.41
190011,0.47,-0.18
190111,1.43,0.78
190211,0.86,0.21
190311,0.01,-0.64
190411,0.18,-0.47
190511,2.87,2.22
190611,1.43,0.78
190711,0.92,0.27
190811,0.88,0.23
190911,0.55,-0.10
191011,0.65,0.00
191111,0.38,-0.27
191211,0.16,-0.49
191311,1.49,0.84
191411,0.35,-0.30
191511,0.22,-0.43
191611,0.19,-0.46
191711,0.16,-0.49
191811,1.23,0.58
191911,1.00,0.35
192011,0.21,-0.44
192111,0.14,-0.51
192211,1.01,0.36
192311,1.42,0.77
192411,0.22,-0.43
192511,0.25,-0.40
192611,0.16,-0.49
192711,0.13,-0.52
192811,0.96,0.31
192911,0.67,0.02
193011,0.96,0.31
193111,1.29,0.64
193211,0.01,-0.64
193311,0.69,0.04
193411,0.76,0.11
193511,1.09,0.44
193611,0.45,-0.20
193711,0.09,-0.56
193811,0.25,-0.40
193911,0.61,-0.04
194011,1.47,0.82
194111,0.41,-0.24
194211,0.02,-0.63
194311,0.47,-0.18
194411,0.95,0.30
194511,0.01,-0.64
194611,0.84,0.19
194711,0.68,0.03
194811,0.17,-0.48
194911,0.09,-0.56
195011,0.06,-0.59
195111,0.40,-0.25
195211,0.99,0.34
195311,0.60,-0.05
195411,0.07,-0.58
195511,0.15,-0.50
195611,0.07,-0.58
195711,1.07,0.42
195811,0.48,-0.17
195911,0.21,-0.44
196011,0.12,-0.53
196111,1.25,0.60
196211,0.80,0.15
196311,0.43,-0.22
196411,0.58,-0.07
196511,0.42,-0.23
196611,0.23,-0.42
196711,0.37,-0.28
196811,0.93,0.28
196911,0.30,-0.35
197011,0.18,-0.47
197111,0.90,0.25
197211,0.88,0.23
197311,0.19,-0.46
197411,0.35,-0.30
197511,0.66,0.01
197611,0.55,-0.10
197711,0.63,-0.02
197811,2.44,1.79
197911,0.59,-0.06
198011,0.47,-0.18
198111,0.52,-0.13
198211,1.09,0.44
198311,1.17,0.52
198411,0.90,0.25
198511,0.63,-0.02
198611,2.43,1.78
198711,0.82,0.17
198811,0.41,-0.24
198911,0.04,-0.61
199011,1.25,0.60
199111,1.49,0.84
199211,0.56,-0.09
199311,0.76,0.11
199411,1.58,0.93
199511,0.26,-0.39
199611,0.62,-0.03
199711,0.82,0.17
199811,0.73,0.08
199911,0.02,-0.63
200011,1.29,0.64
200111,0.94,0.29
200211,0.56,-0.09
200311,0.86,0.21
200411,1.71,1.06
200511,0.06,-0.59
200611,0.17,-0.48
200711,0.42,-0.23
200811,0.38,-0.27
200911,0.40,-0.25
201011,0.10,-0.55
201111,0.47,-0.18
201211,0.18,-0.47
201311,0.86,0.21
201411,0.63,-0.02
201511,0.85,0.20
201611,1.34,0.69
201711,0.11,-0.54
201811,0.22,-0.43
201911,1.78,1.13
202011,0.28,-0.37
202111,0.10,-0.55
202211,0.36,-0.29
