Ohio, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,4.24,1.40
189611,2.57,-0.27
189711,6.58,3.74
189811,3.21,0.37
189911,1.78,-1.06
190011,4.55,1.71
190111,1.63,-1.21
190211,2.70,-0.14
190311,2.17,-0.67
190411,0.37,-2.47
190511,2.69,-0.15
190611,2.45,-0.39
190711,2.05,-0.79
190811,1.03,-1.81
190911,2.56,-0.28
191011,1.85,-0.99
191111,3.03,0.19
191211,1.13,-1.71
191311,3.64,0.80
191411,1.46,-1.38
191511,2.75,-0.09
191611,2.13,-0.71
191711,0.54,-2.30
191811,2.05,-0.79
191911,4.14,1.30
192011,2.81,-0.03
192111,5.87,3.03
192211,1.58,-1.26
192311,2.58,-0.26
192411,1.51,-1.33
192511,4.17,1.33
192611,2.24,-0.60
192711,5.95,3.11
192811,3.09,0.25
192911,3.92,1.08
193011,1.47,-1.37
193111,2.63,-0.21
193211,3.29,0.45
193311,1.49,-1.35
193411,1.98,-0.86
193511,2.61,-0.23
193611,2.81,-0.03
193711,1.41,-1.43
193811,3.25,0.41
193911,0.98,-1.86
194011,3.40,0.56
194111,1.93,-0.91
194211,3.71,0.87
194311,1.26,-1.58
194411,2.10,-0.74
194511,3.57,0.73
194611,2.60,-0.24
194711,2.37,-0.47
194811,4.25,1.41
194911,1.41,-1.43
195011,5.00,2.16
195111,4.16,1.32
195211,1.91,-0.93
195311,1.20,-1.64
195411,1.53,-1.31
195511,3.51,0.67
195611,1.59,-1.25
195711,3.16,0.32
195811,2.99,0.15
195911,3.41,0.57
196011,2.08,-0.76
196111,2.95,0.11
196211,2.81,-0.03
196311,1.79,-1.05
196411,1.94,-0.90
196511,1.98,-0.86
196611,4.76,1.92
196711,3.23,0.39
196811,3.75,0.91
196911,3.17,0.33
197011,2.66,-0.18
197111,1.83,-1.01
197211,5.30,2.46
197311,4.00,1.16
197411,3.32,0.48
197511,1.75,-1.09
197611,0.63,-2.21
197711,2.79,-0.05
197811,2.01,-0.83
197911,3.74,0.90
198011,1.88,-0.96
198111,1.77,-1.07
198211,5.07,2.23
198311,4.75,1.91
198411,3.77,0.93
198511,9.06,6.22
198611,3.56,0.72
198711,1.82,-1.02
198811,4.28,1.44
198911,2.69,-0.15
199011,2.09,-0.75
199111,1.82,-1.02
199211,4.51,1.67
199311,4.72,1.88
199411,3.08,0.24
199511,2.64,-0.20
199611,3.40,0.56
199711,2.64,-0.20
199811,1.65,-1.19
199911,2.49,-0.35
200011,1.80,-1.04
200111,2.98,0.14
200211,2.89,0.05
200311,3.65,0.81
200411,3.61,0.77
200511,3.46,0.62
200611,2.17,-0.67
200711,3.24,0.40
200811,2.40,-0.44
200911,0.98,-1.86
201011,4.14,1.30
201111,5.42,2.58
201211,0.83,-2.01
201311,2.96,0.12
201411,1.93,-0.91
201511,2.24,-0.60
201611,1.31,-1.53
201711,5.14,2.30
201811,5.16,2.32
201911,2.19,-0.65
202011,2.51,-0.33
202111,1.56,-1.28
202211,2.80,-0.04
