Oklahoma, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,3.01,0.86
189611,1.86,-0.29
189711,0.56,-1.59
189811,1.20,-0.95
189911,3.50,1.35
190011,1.22,-0.93
190111,1.19,-0.96
190211,5.48,3.33
190311,0.41,-1.74
190411,0.27,-1.88
190511,2.67,0.52
190611,1.80,-0.35
190711,1.85,-0.30
190811,4.25,2.10
190911,4.99,2.84
191011,0.20,-1.95
191111,1.17,-0.98
191211,0.68,-1.47
191311,3.57,1.42
191411,0.72,-1.43
191511,0.83,-1.32
191611,2.39,0.24
191711,1.69,-0.46
191811,2.84,0.69
191911,2.93,0.78
192011,1.63,-0.52
192111,1.14,-1.01
192211,3.60,1.45
192311,2.32,0.17
192411,1.58,-0.57
192511,2.11,-0.04
192611,1.06,-1.09
192711,1.00,-1.15
192811,3.49,1.34
192911,2.07,-0.08
193011,2.33,0.18
193111,4.68,2.53
193211,0.45,-1.70
193311,1.56,-0.59
193411,3.75,1.60
193511,2.69,0.54
193611,0.51,-1.64
193711,1.66,-0.49
193811,2.12,-0.03
193911,1.45,-0.70
194011,4.70,2.55
194111,1.25,-0.90
194211,1.66,-0.49
194311,0.43,-1.72
194411,2.71,0.56
194511,0.49,-1.66
194611,5.46,3.31
194711,2.09,-0.06
194811,1.72,-0.43
194911,0.13,-2.02
195011,0.41,-1.74
195111,2.07,-0.08
195211,2.91,0.76
195311,1.75,-0.40
195411,0.27,-1.88
195511,0.21,-1.94
195611,1.91,-0.24
195711,3.18,1.03
195811,1.77,-0.38
195911,1.14,-1.01
196011,0.49,-1.66
196111,3.69,1.54
196211,1.80,-0.35
196311,1.68,-0.47
196411,5.18,3.03
196511,0.48,-1.67
196611,0.68,-1.47
196711,0.74,-1.41
196811,4.58,2.43
196911,0.45,-1.70
197011,0.84,-1.31
197111,1.52,-0.63
197211,4.13,1.98
197311,3.63,1.48
197411,3.56,1.41
197511,2.91,0.76
197611,0.49,-1.66
197711,1.96,-0.19
197811,3.78,1.63
197911,2.44,0.29
198011,1.04,-1.11
198111,2.82,0.67
198211,3.27,1.12
198311,2.27,0.12
198411,2.76,0.61
198511,3.60,1.45
198611,3.44,1.29
198711,2.96,0.81
198811,2.72,0.57
198911,0.16,-1.99
199011,2.67,0.52
199111,2.85,0.70
199211,5.57,3.42
199311,1.89,-0.26
199411,5.47,3.32
199511,0.50,-1.65
199611,5.32,3.17
199711,1.68,-0.47
199811,3.29,1.14
199911,0.83,-1.32
200011,3.76,1.61
200111,1.75,-0.40
200211,0.63,-1.52
200311,1.99,-0.16
200411,5.96,3.81
200511,0.46,-1.69
200611,2.45,0.30
200711,0.48,-1.67
200811,1.06,-1.09
200911,0.73,-1.42
201011,1.87,-0.28
201111,4.38,2.23
201211,0.63,-1.52
201311,1.72,-0.43
201411,2.20,0.05
201511,6.05,3.90
201611,1.25,-0.90
201711,0.26,-1.89
201811,1.09,-1.06
201911,2.34,0.19
202011,1.10,-1.05
202111,0.90,-1.25
202211,2.67,0.52
