Oregon, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,2.32,-2.16
189611,9.16,4.68
189711,6.67,2.19
189811,5.25,0.77
189911,5.88,1.40
190011,3.04,-1.44
190111,3.35,-1.13
190211,6.89,2.41
190311,8.73,4.25
190411,3.18,-1.30
190511,2.31,-2.17
190611,5.16,0.68
190711,3.61,-0.87
190811,2.57,-1.91
190911,9.61,5.13
191011,8.71,4.23
191111,3.40,-1.08
191211,4.24,-0.24
191311,4.58,0.10
191411,2.16,-2.32
191511,6.79,2.31
191611,3.94,-0.54
191711,4.55,0.07
191811,3.22,-1.26
191911,4.66,0.18
192011,4.80,0.32
192111,7.21,2.73
192211,2.48,-2.00
192311,2.29,-2.19
192411,5.37,0.89
192511,3.19,-1.29
192611,8.07,3.59
192711,6.79,2.31
192811,3.30,-1.18
192911,0.31,-4.17
193011,2.75,-1.73
193111,4.15,-0.33
193211,4.88,0.40
193311,1.11,-3.37
193411,6.35,1.87
193511,1.78,-2.70
193611,0.22,-4.26
193711,7.21,2.73
193811,3.75,-0.73
193911,0.51,-3.97
194011,3.81,-0.67
194111,4.34,-0.14
194211,9.54,5.06
194311,2.19,-2.29
194411,4.24,-0.24
194511,7.37,2.89
194611,5.77,1.29
194711,3.60,-0.88
194811,4.73,0.25
194911,3.88,-0.60
195011,5.10,0.62
195111,4.71,0.23
195211,1.32,-3.16
195311,6.01,1.53
195411,2.74,-1.74
195511,5.64,1.16
195611,1.10,-3.38
195711,2.75,-1.73
195811,5.19,0.71
195911,1.57,-2.91
196011,7.40,2.92
196111,5.11,0.63
196211,5.19,0.71
196311,5.73,1.25
196411,5.47,0.99
196511,4.72,0.24
196611,5.98,1.50
196711,2.27,-2.21
196811,6.13,1.65
196911,1.77,-2.71
197011,6.44,1.96
197111,5.35,0.87
197211,3.02,-1.46
197311,10.97,6.49
197411,3.24,-1.24
197511,4.01,-0.47
197611,0.99,-3.49
197711,5.97,1.49
197811,3.06,-1.42
197911,3.94,-0.54
198011,4.11,-0.37
198111,5.95,1.47
198211,3.65,-0.83
198311,7.38,2.90
198411,8.74,4.26
198511,3.90,-0.58
198611,4.84,0.36
198711,2.62,-1.86
198811,8.32,3.84
198911,2.44,-2.04
199011,3.58,-0.90
199111,5.41,0.93
199211,4.09,-0.39
199311,1.43,-3.05
199411,6.12,1.64
199511,5.97,1.49
199611,6.78,2.30
199711,3.08,-1.40
199811,8.32,3.84
199911,4.46,-0.02
200011,2.06,-2.42
200111,5.37,0.89
200211,2.54,-1.94
200311,3.75,-0.73
200411,1.78,-2.70
200511,5.39,0.91
200611,8.08,3.60
200711,3.65,-0.83
200811,3.83,-0.65
200911,3.70,-0.78
201011,4.62,0.14
201111,3.54,-0.94
201211,5.39,0.91
201311,2.40,-2.08
201411,4.14,-0.34
201511,3.85,-0.63
201611,3.83,-0.65
201711,5.11,0.63
201811,2.71,-1.77
201911,1.19,-3.29
202011,4.60,0.12
202111,3.86,-0.62
202211,4.15,-0.33
