South Carolina, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,2.48,-0.24
189611,3.96,1.24
189711,2.04,-0.68
189811,4.70,1.98
189911,2.57,-0.15
190011,3.29,0.57
190111,1.09,-1.63
190211,3.63,0.91
190311,1.50,-1.22
190411,2.81,0.09
190511,1.28,-1.44
190611,0.93,-1.79
190711,4.06,1.34
190811,1.59,-1.13
190911,1.07,-1.65
191011,1.09,-1.63
191111,3.21,0.49
191211,2.49,-0.23
191311,1.83,-0.89
191411,3.41,0.69
191511,2.41,-0.31
191611,1.15,-1.57
191711,0.78,-1.94
191811,3.14,0.42
191911,0.79,-1.93
192011,3.62,0.90
192111,2.97,0.25
192211,0.60,-2.12
192311,2.51,-0.21
192411,1.31,-1.41
192511,3.86,1.14
192611,2.98,0.26
192711,1.41,-1.31
192811,0.68,-2.04
192911,3.59,0.87
193011,3.92,1.20
193111,0.48,-2.24
193211,4.24,1.52
193311,1.08,-1.64
193411,2.77,0.05
193511,2.71,-0.01
193611,1.72,-1.00
193711,2.67,-0.05
193811,2.70,-0.02
193911,1.07,-1.65
194011,3.99,1.27
194111,1.10,-1.62
194211,1.63,-1.09
194311,1.80,-0.92
194411,2.09,-0.63
194511,1.52,-1.20
194611,2.75,0.03
194711,7.13,4.41
194811,8.71,5.99
194911,2.02,-0.70
195011,1.21,-1.51
195111,2.89,0.17
195211,1.93,-0.79
195311,1.55,-1.17
195411,2.04,-0.68
195511,2.29,-0.43
195611,1.09,-1.63
195711,6.69,3.97
195811,0.83,-1.89
195911,1.30,-1.42
196011,1.19,-1.53
196111,2.14,-0.58
196211,4.15,1.43
196311,4.55,1.83
196411,1.56,-1.16
196511,2.13,-0.59
196611,1.27,-1.45
196711,2.94,0.22
196811,3.92,1.20
196911,2.73,0.01
197011,1.38,-1.34
197111,2.67,-0.05
197211,4.48,1.76
197311,1.01,-1.71
197411,2.52,-0.20
197511,2.59,-0.13
197611,3.60,0.88
197711,2.53,-0.19
197811,2.68,-0.04
197911,4.04,1.32
198011,2.50,-0.22
198111,1.04,-1.68
198211,2.23,-0.49
198311,4.44,1.72
198411,1.41,-1.31
198511,7.62,4.90
198611,4.78,2.06
198711,3.58,0.86
198811,2.70,-0.02
198911,2.42,-0.30
199011,2.30,-0.42
199111,1.81,-0.91
199211,7.04,4.32
199311,2.77,0.05
199411,3.24,0.52
199511,3.68,0.96
199611,2.46,-0.26
199711,4.37,1.65
199811,1.43,-1.29
199911,1.83,-0.89
200011,3.50,0.78
200111,0.98,-1.74
200211,4.42,1.70
200311,1.60,-1.12
200411,2.92,0.20
200511,3.20,0.48
200611,4.98,2.26
200711,0.57,-2.15
200811,3.94,1.22
200911,4.63,1.91
201011,1.23,-1.49
201111,2.85,0.13
201211,1.46,-1.26
201311,3.16,0.44
201411,4.44,1.72
201511,7.24,4.52
201611,0.99,-1.73
201711,1.19,-1.53
201811,5.72,3.00
201911,3.48,0.76
202011,4.49,1.77
202111,0.91,-1.81
202211,3.61,0.89
