South Dakota, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,1.15,0.51
189611,1.58,0.94
189711,0.59,-0.05
189811,0.29,-0.35
189911,0.37,-0.27
190011,0.24,-0.40
190111,0.22,-0.42
190211,0.31,-0.33
190311,0.32,-0.32
190411,0.08,-0.56
190511,1.23,0.59
190611,0.66,0.02
190711,0.04,-0.60
190811,0.85,0.21
190911,1.16,0.52
191011,0.23,-0.41
191111,0.74,0.10
191211,0.04,-0.60
191311,0.36,-0.28
191411,0.03,-0.61
191511,0.44,-0.20
191611,0.26,-0.38
191711,0.23,-0.41
191811,1.00,0.36
191911,1.50,0.86
192011,1.05,0.41
192111,0.60,-0.04
192211,2.75,2.11
192311,0.29,-0.35
192411,0.36,-0.28
192511,0.38,-0.26
192611,0.68,0.04
192711,0.54,-0.10
192811,0.90,0.26
192911,0.57,-0.07
193011,1.23,0.59
193111,0.91,0.27
193211,0.16,-0.48
193311,0.26,-0.38
193411,0.41,-0.23
193511,0.47,-0.17
193611,0.88,0.24
193711,0.28,-0.36
193811,0.51,-0.13
193911,0.01,-0.63
194011,0.69,0.05
194111,0.19,-0.45
194211,0.32,-0.32
194311,0.45,-0.19
194411,1.81,1.17
194511,0.28,-0.36
194611,0.72,0.08
194711,1.69,1.05
194811,0.90,0.26
194911,0.22,-0.42
195011,0.36,-0.28
195111,0.21,-0.43
195211,0.70,0.06
195311,0.67,0.03
195411,0.38,-0.26
195511,0.38,-0.26
195611,1.39,0.75
195711,0.99,0.35
195811,0.77,0.13
195911,0.84,0.20
196011,0.70,0.06
196111,0.25,-0.39
196211,0.25,-0.39
196311,0.27,-0.37
196411,0.28,-0.36
196511,0.33,-0.31
196611,0.48,-0.16
196711,0.15,-0.49
196811,0.56,-0.08
196911,0.23,-0.41
197011,1.55,0.91
197111,1.23,0.59
197211,0.80,0.16
197311,0.79,0.15
197411,0.24,-0.40
197511,0.63,-0.01
197611,0.14,-0.50
197711,1.61,0.97
197811,0.68,0.04
197911,0.40,-0.24
198011,0.18,-0.46
198111,0.65,0.01
198211,0.82,0.18
198311,1.60,0.96
198411,0.42,-0.22
198511,1.66,1.02
198611,0.77,0.13
198711,0.56,-0.08
198811,0.70,0.06
198911,0.73,0.09
199011,0.26,-0.38
199111,0.85,0.21
199211,1.19,0.55
199311,1.24,0.60
199411,0.67,0.03
199511,0.53,-0.11
199611,1.23,0.59
199711,0.29,-0.35
199811,1.26,0.62
199911,0.21,-0.43
200011,1.86,1.22
200111,1.19,0.55
200211,0.06,-0.58
200311,0.74,0.10
200411,0.36,-0.28
200511,1.07,0.43
200611,0.35,-0.29
200711,0.05,-0.59
200811,1.15,0.51
200911,0.11,-0.53
201011,0.33,-0.31
201111,0.24,-0.40
201211,0.32,-0.32
201311,0.30,-0.34
201411,0.62,-0.02
201511,1.02,0.38
201611,0.91,0.27
201711,0.23,-0.41
201811,0.73,0.09
201911,0.94,0.30
202011,0.36,-0.28
202111,0.24,-0.40
202211,0.48,-0.16
