Tennessee, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,3.09,-0.97
189611,6.73,2.67
189711,3.14,-0.92
189811,3.38,-0.68
189911,2.16,-1.90
190011,6.06,2.00
190111,1.52,-2.54
190211,4.48,0.42
190311,3.98,-0.08
190411,2.55,-1.51
190511,1.81,-2.25
190611,6.56,2.50
190711,4.94,0.88
190811,3.41,-0.65
190911,2.16,-1.90
191011,1.35,-2.71
191111,4.48,0.42
191211,1.52,-2.54
191311,1.40,-2.66
191411,1.81,-2.25
191511,6.45,2.39
191611,1.94,-2.12
191711,1.10,-2.96
191811,2.57,-1.49
191911,6.61,2.55
192011,2.92,-1.14
192111,5.98,1.92
192211,2.48,-1.58
192311,3.34,-0.72
192411,1.56,-2.50
192511,4.82,0.76
192611,5.11,1.05
192711,4.57,0.51
192811,3.79,-0.27
192911,6.14,2.08
193011,3.32,-0.74
193111,3.75,-0.31
193211,3.09,-0.97
193311,2.02,-2.04
193411,4.14,0.08
193511,4.53,0.47
193611,3.21,-0.85
193711,2.04,-2.02
193811,4.25,0.19
193911,1.60,-2.46
194011,3.72,-0.34
194111,2.85,-1.21
194211,2.80,-1.26
194311,2.26,-1.80
194411,3.18,-0.88
194511,7.36,3.30
194611,5.06,1.00
194711,4.51,0.45
194811,10.48,6.42
194911,1.27,-2.79
195011,4.80,0.74
195111,6.81,2.75
195211,3.60,-0.46
195311,1.47,-2.59
195411,2.34,-1.72
195511,3.65,-0.41
195611,2.36,-1.70
195711,9.72,5.66
195811,3.88,-0.18
195911,4.28,0.22
196011,3.29,-0.77
196111,5.07,1.01
196211,3.85,-0.21
196311,3.79,-0.27
196411,3.87,-0.19
196511,2.68,-1.38
196611,3.58,-0.48
196711,3.91,-0.15
196811,4.19,0.13
196911,3.58,-0.48
197011,2.36,-1.70
197111,2.04,-2.02
197211,5.38,1.32
197311,8.58,4.52
197411,4.78,0.72
197511,4.01,-0.05
197611,1.80,-2.26
197711,7.59,3.53
197811,4.44,0.38
197911,6.78,2.72
198011,3.94,-0.12
198111,2.90,-1.16
198211,5.60,1.54
198311,7.20,3.14
198411,6.23,2.17
198511,4.71,0.65
198611,7.50,3.44
198711,4.63,0.57
198811,7.51,3.45
198911,4.49,0.43
199011,3.38,-0.68
199111,3.78,-0.28
199211,4.50,0.44
199311,3.77,-0.29
199411,3.93,-0.13
199511,5.79,1.73
199611,6.63,2.57
199711,3.01,-1.05
199811,1.96,-2.10
199911,3.29,-0.77
200011,5.10,1.04
200111,5.68,1.62
200211,4.23,0.17
200311,5.77,1.71
200411,6.77,2.71
200511,3.66,-0.40
200611,3.90,-0.16
200711,3.57,-0.49
200811,2.67,-1.39
200911,2.02,-2.04
201011,5.64,1.58
201111,7.56,3.50
201211,1.70,-2.36
201311,3.71,-0.35
201411,3.22,-0.84
201511,6.38,2.32
201611,3.05,-1.01
201711,2.78,-1.28
201811,5.51,1.45
201911,4.74,0.68
202011,1.98,-2.08
202111,1.68,-2.38
202211,3.53,-0.53
