Virginia, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,2.79,-0.13
189611,3.99,1.07
189711,2.87,-0.05
189811,2.60,-0.32
189911,1.40,-1.52
190011,3.49,0.57
190111,1.64,-1.28
190211,3.60,0.68
190311,1.80,-1.12
190411,2.10,-0.82
190511,0.77,-2.15
190611,2.08,-0.84
190711,4.90,1.98
190811,1.51,-1.41
190911,0.79,-2.13
191011,1.34,-1.58
191111,3.68,0.76
191211,2.43,-0.49
191311,2.42,-0.50
191411,2.54,-0.38
191511,1.70,-1.22
191611,1.56,-1.36
191711,0.57,-2.35
191811,1.63,-1.29
191911,2.05,-0.87
192011,5.62,2.70
192111,3.26,0.34
192211,0.60,-2.32
192311,2.72,-0.20
192411,1.98,-0.94
192511,2.46,-0.46
192611,4.20,1.28
192711,2.78,-0.14
192811,1.36,-1.56
192911,3.40,0.48
193011,1.79,-1.13
193111,0.64,-2.28
193211,4.38,1.46
193311,1.19,-1.73
193411,4.46,1.54
193511,3.99,1.07
193611,1.08,-1.84
193711,2.55,-0.37
193811,3.67,0.75
193911,2.13,-0.79
194011,4.25,1.33
194111,1.23,-1.69
194211,1.73,-1.19
194311,1.92,-1.00
194411,2.78,-0.14
194511,3.41,0.49
194611,1.91,-1.01
194711,4.86,1.94
194811,6.00,3.08
194911,2.18,-0.74
195011,2.23,-0.69
195111,4.55,1.63
195211,5.13,2.21
195311,1.46,-1.46
195411,2.85,-0.07
195511,1.85,-1.07
195611,2.46,-0.46
195711,4.42,1.50
195811,1.91,-1.01
195911,3.27,0.35
196011,1.23,-1.69
196111,2.47,-0.45
196211,5.53,2.61
196311,5.49,2.57
196411,2.40,-0.52
196511,0.85,-2.07
196611,2.19,-0.73
196711,1.66,-1.26
196811,3.34,0.42
196911,2.02,-0.90
197011,3.73,0.81
197111,2.75,-0.17
197211,5.59,2.67
197311,2.13,-0.79
197411,1.79,-1.13
197511,2.14,-0.78
197611,1.59,-1.33
197711,5.38,2.46
197811,3.40,0.48
197911,4.42,1.50
198011,2.74,-0.18
198111,0.90,-2.02
198211,3.64,0.72
198311,4.54,1.62
198411,3.23,0.31
198511,8.88,5.96
198611,3.70,0.78
198711,3.80,0.88
198811,4.22,1.30
198911,3.09,0.17
199011,1.68,-1.24
199111,2.08,-0.84
199211,4.24,1.32
199311,4.03,1.11
199411,2.73,-0.19
199511,3.81,0.89
199611,3.72,0.80
199711,4.47,1.55
199811,1.15,-1.77
199911,2.22,-0.70
200011,1.88,-1.04
200111,0.59,-2.33
200211,4.80,1.88
200311,4.35,1.43
200411,4.21,1.29
200511,3.66,0.74
200611,5.28,2.36
200711,1.05,-1.87
200811,2.89,-0.03
200911,6.68,3.76
201011,2.00,-0.92
201111,3.86,0.94
201211,0.67,-2.25
201311,3.03,0.11
201411,3.13,0.21
201511,3.92,1.00
201611,1.37,-1.55
201711,1.36,-1.56
201811,6.08,3.16
201911,2.48,-0.44
202011,5.15,2.23
202111,0.94,-1.98
202211,4.02,1.10
