Vermont, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,5.97,2.34
189611,3.55,-0.08
189711,6.25,2.62
189811,3.38,-0.25
189911,2.21,-1.42
190011,6.51,2.88
190111,2.28,-1.35
190211,1.44,-2.19
190311,1.48,-2.15
190411,0.99,-2.64
190511,2.45,-1.18
190611,2.70,-0.93
190711,3.34,-0.29
190811,1.46,-2.17
190911,2.17,-1.46
191011,2.56,-1.07
191111,2.52,-1.11
191211,3.61,-0.02
191311,2.14,-1.49
191411,2.55,-1.08
191511,2.47,-1.16
191611,3.45,-0.18
191711,0.92,-2.71
191811,3.15,-0.48
191911,4.07,0.44
192011,4.51,0.88
192111,5.56,1.93
192211,1.61,-2.02
192311,4.23,0.60
192411,3.43,-0.20
192511,3.88,0.25
192611,3.87,0.24
192711,10.61,6.98
192811,2.56,-1.07
192911,2.65,-0.98
193011,2.77,-0.86
193111,1.92,-1.71
193211,5.86,2.23
193311,2.18,-1.45
193411,3.68,0.05
193511,4.80,1.17
193611,2.88,-0.75
193711,4.00,0.37
193811,2.82,-0.81
193911,1.49,-2.14
194011,5.38,1.75
194111,2.90,-0.73
194211,3.92,0.29
194311,5.10,1.47
194411,2.42,-1.21
194511,4.63,1.00
194611,3.05,-0.58
194711,4.66,1.03
194811,6.12,2.49
194911,3.06,-0.57
195011,5.47,1.84
195111,4.94,1.31
195211,1.90,-1.73
195311,2.19,-1.44
195411,5.06,1.43
195511,3.12,-0.51
195611,2.97,-0.66
195711,4.10,0.47
195811,2.87,-0.76
195911,6.37,2.74
196011,2.49,-1.14
196111,3.32,-0.31
196211,2.90,-0.73
196311,5.73,2.10
196411,2.97,-0.66
196511,4.38,0.75
196611,2.81,-0.82
196711,2.91,-0.72
196811,5.80,2.17
196911,6.22,2.59
197011,2.71,-0.92
197111,3.92,0.29
197211,5.75,2.12
197311,3.47,-0.16
197411,4.34,0.71
197511,4.63,1.00
197611,2.22,-1.41
197711,4.49,0.86
197811,1.79,-1.84
197911,3.64,0.01
198011,3.78,0.15
198111,2.50,-1.13
198211,4.13,0.50
198311,7.36,3.73
198411,3.60,-0.03
198511,4.70,1.07
198611,4.25,0.62
198711,3.14,-0.49
198811,5.86,2.23
198911,4.29,0.66
199011,3.71,0.08
199111,2.66,-0.97
199211,4.52,0.89
199311,3.50,-0.13
199411,3.13,-0.50
199511,4.41,0.78
199611,3.41,-0.22
199711,5.14,1.51
199811,2.90,-0.73
199911,3.23,-0.40
200011,3.19,-0.44
200111,2.50,-1.13
200211,4.76,1.13
200311,4.68,1.05
200411,3.59,-0.04
200511,5.52,1.89
200611,3.02,-0.61
200711,4.73,1.10
200811,2.85,-0.78
200911,4.03,0.40
201011,3.17,-0.46
201111,2.06,-1.57
201211,1.13,-2.50
201311,3.88,0.25
201411,2.55,-1.08
201511,1.81,-1.82
201611,2.78,-0.85
201711,2.19,-1.44
201811,6.33,2.70
201911,3.98,0.35
202011,2.91,-0.72
202111,3.31,-0.32
202211,3.60,-0.03
