Washington, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,3.35,-2.88
189611,11.03,4.80
189711,11.32,5.09
189811,5.85,-0.38
189911,9.59,3.36
190011,4.80,-1.43
190111,7.85,1.62
190211,9.13,2.90
190311,9.83,3.60
190411,6.79,0.56
190511,3.38,-2.85
190611,9.71,3.48
190711,6.12,-0.11
190811,4.24,-1.99
190911,12.87,6.64
191011,9.22,2.99
191111,6.93,0.70
191211,6.41,0.18
191311,6.80,0.57
191411,6.11,-0.12
191511,7.95,1.72
191611,5.15,-1.08
191711,3.64,-2.59
191811,4.91,-1.32
191911,5.71,-0.52
192011,5.21,-1.02
192111,9.10,2.87
192211,2.08,-4.15
192311,3.45,-2.78
192411,6.67,0.44
192511,4.23,-2.00
192611,7.04,0.81
192711,8.95,2.72
192811,3.55,-2.68
192911,0.85,-5.38
193011,3.05,-3.18
193111,5.26,-0.97
193211,9.83,3.60
193311,3.41,-2.82
193411,8.21,1.98
193511,2.60,-3.63
193611,0.67,-5.56
193711,9.81,3.58
193811,4.42,-1.81
193911,2.97,-3.26
194011,4.73,-1.50
194111,5.02,-1.21
194211,8.75,2.52
194311,2.19,-4.04
194411,5.67,-0.56
194511,7.83,1.60
194611,6.29,0.06
194711,4.28,-1.95
194811,7.84,1.61
194911,7.63,1.40
195011,7.39,1.16
195111,5.86,-0.37
195211,1.44,-4.79
195311,6.11,-0.12
195411,6.88,0.65
195511,8.99,2.76
195611,2.31,-3.92
195711,3.22,-3.01
195811,9.12,2.89
195911,6.36,0.13
196011,8.33,2.10
196111,4.75,-1.48
196211,8.59,2.36
196311,7.56,1.33
196411,6.55,0.32
196511,5.53,-0.70
196611,6.25,0.02
196711,3.32,-2.91
196811,6.33,0.10
196911,2.74,-3.49
197011,5.81,-0.42
197111,5.75,-0.48
197211,4.12,-2.11
197311,9.91,3.68
197411,6.21,-0.02
197511,7.01,0.78
197611,1.61,-4.62
197711,7.33,1.10
197811,4.40,-1.83
197911,2.69,-3.54
198011,7.54,1.31
198111,4.98,-1.25
198211,4.98,-1.25
198311,11.20,4.97
198411,9.01,2.78
198511,4.59,-1.64
198611,7.66,1.43
198711,3.37,-2.86
198811,8.75,2.52
198911,6.21,-0.02
199011,9.46,3.23
199111,7.60,1.37
199211,6.07,-0.16
199311,2.35,-3.88
199411,7.19,0.96
199511,11.13,4.90
199611,6.95,0.72
199711,4.34,-1.89
199811,10.04,3.81
199911,8.24,2.01
200011,3.02,-3.21
200111,7.67,1.44
200211,3.80,-2.43
200311,6.30,0.07
200411,3.79,-2.44
200511,5.48,-0.75
200611,13.51,7.28
200711,3.97,-2.26
200811,6.84,0.61
200911,7.93,1.70
201011,5.78,-0.45
201111,6.10,-0.13
201211,7.31,1.08
201311,4.03,-2.20
201411,6.10,-0.13
201511,7.02,0.79
201611,6.87,0.64
201711,8.86,2.63
201811,5.21,-1.02
201911,1.85,-4.38
202011,6.40,0.17
202111,9.22,2.99
202211,6.10,-0.13
