Wisconsin, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,1.46,-0.49
189611,2.96,1.01
189711,1.24,-0.71
189811,1.53,-0.42
189911,0.98,-0.97
190011,1.36,-0.59
190111,0.89,-1.06
190211,2.72,0.77
190311,0.96,-0.99
190411,0.23,-1.72
190511,1.94,-0.01
190611,2.99,1.04
190711,1.15,-0.80
190811,1.57,-0.38
190911,3.82,1.87
191011,1.19,-0.76
191111,2.54,0.59
191211,0.87,-1.08
191311,1.49,-0.46
191411,1.01,-0.94
191511,3.23,1.28
191611,1.70,-0.25
191711,0.30,-1.65
191811,2.25,0.30
191911,3.11,1.16
192011,2.30,0.35
192111,1.28,-0.67
192211,3.27,1.32
192311,0.74,-1.21
192411,1.59,-0.36
192511,1.01,-0.94
192611,2.75,0.80
192711,2.45,0.50
192811,1.81,-0.14
192911,0.93,-1.02
193011,1.34,-0.61
193111,4.21,2.26
193211,1.93,-0.02
193311,0.80,-1.15
193411,4.81,2.86
193511,1.97,0.02
193611,0.96,-0.99
193711,1.50,-0.45
193811,2.45,0.50
193911,0.34,-1.61
194011,3.38,1.43
194111,1.36,-0.59
194211,1.87,-0.08
194311,1.98,0.03
194411,2.30,0.35
194511,3.53,1.58
194611,2.31,0.36
194711,2.15,0.20
194811,3.22,1.27
194911,1.33,-0.62
195011,1.26,-0.69
195111,1.90,-0.05
195211,1.91,-0.04
195311,1.49,-0.46
195411,0.91,-1.04
195511,1.12,-0.83
195611,2.38,0.43
195711,2.91,0.96
195811,1.86,-0.09
195911,1.46,-0.49
196011,1.99,0.04
196111,2.74,0.79
196211,0.50,-1.45
196311,1.54,-0.41
196411,2.09,0.14
196511,2.81,0.86
196611,1.17,-0.78
196711,0.93,-1.02
196811,1.11,-0.84
196911,0.95,-1.00
197011,2.61,0.66
197111,2.74,0.79
197211,1.61,-0.34
197311,1.55,-0.40
197411,1.94,-0.01
197511,4.04,2.09
197611,0.23,-1.72
197711,2.56,0.61
197811,2.27,0.32
197911,2.01,0.06
198011,0.77,-1.18
198111,0.89,-1.06
198211,3.67,1.72
198311,3.72,1.77
198411,2.20,0.25
198511,4.26,2.31
198611,1.14,-0.81
198711,2.88,0.93
198811,3.42,1.47
198911,1.30,-0.65
199011,1.26,-0.69
199111,5.28,3.33
199211,3.79,1.84
199311,1.78,-0.17
199411,2.21,0.26
199511,1.97,0.02
199611,2.28,0.33
199711,0.73,-1.22
199811,1.77,-0.18
199911,1.25,-0.70
200011,2.71,0.76
200111,2.26,0.31
200211,0.39,-1.56
200311,3.17,1.22
200411,1.65,-0.30
200511,2.92,0.97
200611,1.71,-0.24
200711,0.31,-1.64
200811,1.28,-0.67
200911,0.85,-1.10
201011,1.71,-0.24
201111,1.95,0.00
201211,1.11,-0.84
201311,2.33,0.38
201411,2.03,0.08
201511,3.42,1.47
201611,1.84,-0.11
201711,0.91,-1.04
201811,1.94,-0.01
201911,2.03,0.08
202011,2.06,0.11
202111,1.24,-0.71
202211,3.06,1.11
