West Virginia, Precipitation, November
Units: Inches
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189511,2.88,-0.18
189611,3.96,0.90
189711,4.79,1.73
189811,2.82,-0.24
189911,1.77,-1.29
190011,5.19,2.13
190111,2.64,-0.42
190211,3.41,0.35
190311,2.52,-0.54
190411,0.98,-2.08
190511,2.12,-0.94
190611,2.66,-0.40
190711,4.04,0.98
190811,1.35,-1.71
190911,1.40,-1.66
191011,2.07,-0.99
191111,2.98,-0.08
191211,2.01,-1.05
191311,4.60,1.54
191411,1.47,-1.59
191511,3.10,0.04
191611,1.75,-1.31
191711,1.01,-2.05
191811,1.98,-1.08
191911,4.51,1.45
192011,3.69,0.63
192111,6.01,2.95
192211,1.19,-1.87
192311,3.34,0.28
192411,2.19,-0.87
192511,3.67,0.61
192611,3.76,0.70
192711,4.16,1.10
192811,3.33,0.27
192911,4.56,1.50
193011,1.52,-1.54
193111,1.67,-1.39
193211,3.40,0.34
193311,1.94,-1.12
193411,3.65,0.59
193511,3.18,0.12
193611,2.45,-0.61
193711,1.64,-1.42
193811,4.04,0.98
193911,1.05,-2.01
194011,3.21,0.15
194111,2.32,-0.74
194211,3.80,0.74
194311,2.11,-0.95
194411,2.10,-0.96
194511,5.25,2.19
194611,1.66,-1.40
194711,3.15,0.09
194811,4.48,1.42
194911,2.63,-0.43
195011,5.14,2.08
195111,4.45,1.39
195211,2.81,-0.25
195311,1.27,-1.79
195411,2.00,-1.06
195511,2.17,-0.89
195611,1.79,-1.27
195711,2.48,-0.58
195811,2.55,-0.51
195911,4.04,0.98
196011,2.05,-1.01
196111,2.93,-0.13
196211,4.56,1.50
196311,4.44,1.38
196411,2.83,-0.23
196511,1.30,-1.76
196611,3.38,0.32
196711,3.11,0.05
196811,3.24,0.18
196911,2.43,-0.63
197011,3.16,0.10
197111,2.75,-0.31
197211,5.26,2.20
197311,4.41,1.35
197411,2.59,-0.47
197511,2.30,-0.76
197611,1.20,-1.86
197711,3.98,0.92
197811,2.75,-0.31
197911,3.67,0.61
198011,3.23,0.17
198111,1.43,-1.63
198211,4.09,1.03
198311,4.04,0.98
198411,4.22,1.16
198511,9.53,6.47
198611,5.83,2.77
198711,2.86,-0.20
198811,3.98,0.92
198911,3.21,0.15
199011,1.90,-1.16
199111,3.40,0.34
199211,3.12,0.06
199311,4.03,0.97
199411,2.44,-0.62
199511,3.81,0.75
199611,3.96,0.90
199711,3.79,0.73
199811,1.45,-1.61
199911,3.38,0.32
200011,1.82,-1.24
200111,1.27,-1.79
200211,4.13,1.07
200311,6.68,3.62
200411,3.84,0.78
200511,3.88,0.82
200611,2.86,-0.20
200711,3.00,-0.06
200811,2.78,-0.28
200911,1.72,-1.34
201011,2.85,-0.21
201111,4.54,1.48
201211,0.77,-2.29
201311,3.40,0.34
201411,2.31,-0.75
201511,2.28,-0.78
201611,1.87,-1.19
201711,2.34,-0.72
201811,4.85,1.79
201911,2.59,-0.47
202011,2.72,-0.34
202111,1.32,-1.74
202211,3.56,0.50
