Date,Precipitation,State
1925,4.87,Alaska
1926,2.29,Alaska
1927,1.53,Alaska
1928,4.62,Alaska
1929,5.56,Alaska
1930,4.69,Alaska
1931,4.48,Alaska
1932,2.24,Alaska
1933,4.72,Alaska
1934,1.51,Alaska
1935,4.44,Alaska
1936,6.27,Alaska
1937,2.89,Alaska
1938,4.54,Alaska
1939,3.13,Alaska
1940,3.04,Alaska
1941,3.53,Alaska
1942,2.07,Alaska
1943,4.68,Alaska
1944,2.56,Alaska
1945,2.3,Alaska
1946,3.06,Alaska
1947,4.05,Alaska
1948,3.73,Alaska
1949,3.56,Alaska
1950,1.73,Alaska
1951,3.08,Alaska
1952,4.67,Alaska
1953,2.27,Alaska
1954,3.43,Alaska
1955,1.85,Alaska
1956,5.02,Alaska
1957,4.35,Alaska
1958,3.59,Alaska
1959,3.8,Alaska
1960,2.84,Alaska
1961,3.41,Alaska
1962,2.42,Alaska
1963,1.5,Alaska
1964,3.15,Alaska
1965,2.43,Alaska
1966,3.46,Alaska
1967,4.59,Alaska
1968,2.81,Alaska
1969,3.91,Alaska
1970,3.17,Alaska
1971,2.78,Alaska
1972,2.54,Alaska
1973,2.19,Alaska
1974,4.26,Alaska
1975,1.76,Alaska
1976,5.61,Alaska
1977,2.07,Alaska
1978,3.63,Alaska
1979,5.78,Alaska
1980,3.36,Alaska
1981,3.82,Alaska
1982,3.02,Alaska
1983,2.64,Alaska
1984,2.32,Alaska
1985,2.45,Alaska
1986,3.59,Alaska
1987,3.99,Alaska
1988,3.08,Alaska
1989,3.49,Alaska
1990,3.08,Alaska
1991,3.38,Alaska
1992,4.54,Alaska
1993,4.94,Alaska
1994,4.81,Alaska
1995,1.73,Alaska
1996,2.19,Alaska
1997,3.61,Alaska
1998,1.99,Alaska
1999,2.92,Alaska
2000,4.29,Alaska
2001,1.96,Alaska
2002,4.45,Alaska
2003,4.42,Alaska
2004,4.87,Alaska
2005,4.42,Alaska
2006,1.37,Alaska
2007,3.59,Alaska
2008,2.84,Alaska
2009,3.35,Alaska
2010,4.29,Alaska
2011,3.28,Alaska
2012,1.98,Alaska
2013,4.06,Alaska
2014,2.52,Alaska
2015,5.39,Alaska
2016,2.9,Alaska
2017,2.34,Alaska
2018,3.57,Alaska
2019,5.1,Alaska
2020,3.99,Alaska
2021,2.34,Alaska
2022,3.31,Alaska
1895,1.76,Alabama
1896,4.42,Alabama
1897,1.8,Alabama
1898,5.99,Alabama
1899,2.97,Alabama
1900,3.33,Alabama
1901,1.78,Alabama
1902,4.11,Alabama
1903,2.12,Alabama
1904,3.06,Alabama
1905,1.68,Alabama
1906,2.32,Alabama
1907,6.36,Alabama
1908,1.66,Alabama
1909,1.26,Alabama
1910,2.19,Alabama
1911,4.54,Alabama
1912,2.11,Alabama
1913,1.3,Alabama
1914,4.01,Alabama
1915,3.26,Alabama
1916,2.8,Alabama
1917,1.47,Alabama
1918,5.16,Alabama
1919,5.03,Alabama
1920,3.09,Alabama
1921,3.42,Alabama
1922,1.94,Alabama
1923,5.2,Alabama
1924,0.26,Alabama
1925,4.59,Alabama
1926,5.07,Alabama
1927,3.74,Alabama
1928,2.47,Alabama
1929,10.2,Alabama
1930,6.94,Alabama
1931,2.13,Alabama
1932,3.91,Alabama
1933,1.26,Alabama
1934,3.97,Alabama
1935,3.3,Alabama
1936,1.86,Alabama
1937,3.4,Alabama
1938,3.38,Alabama
1939,0.86,Alabama
1940,3.56,Alabama
1941,2.63,Alabama
1942,1.84,Alabama
1943,3.4,Alabama
1944,3.58,Alabama
1945,3.46,Alabama
1946,5,Alabama
1947,8.15,Alabama
1948,15.07,Alabama
1949,0.86,Alabama
1950,1.78,Alabama
1951,3.68,Alabama
1952,2.67,Alabama
1953,2.62,Alabama
1954,3.05,Alabama
1955,3.17,Alabama
1956,1.78,Alabama
1957,8.07,Alabama
1958,3,Alabama
1959,2.64,Alabama
1960,2.17,Alabama
1961,4.5,Alabama
1962,4.76,Alabama
1963,4.31,Alabama
1964,3.79,Alabama
1965,1.83,Alabama
1966,3.35,Alabama
1967,3.76,Alabama
1968,4.31,Alabama
1969,1.9,Alabama
1970,2.2,Alabama
1971,2.49,Alabama
1972,4.66,Alabama
1973,4.95,Alabama
1974,3.94,Alabama
1975,3.27,Alabama
1976,4.41,Alabama
1977,6.31,Alabama
1978,3.3,Alabama
1979,5.8,Alabama
1980,3.17,Alabama
1981,1.75,Alabama
1982,5.62,Alabama
1983,7.47,Alabama
1984,3.9,Alabama
1985,2.91,Alabama
1986,8.86,Alabama
1987,4.04,Alabama
1988,5.41,Alabama
1989,6.06,Alabama
1990,2.94,Alabama
1991,4.37,Alabama
1992,9.48,Alabama
1993,3.88,Alabama
1994,3.5,Alabama
1995,5.8,Alabama
1996,3.46,Alabama
